AttendanceID,EmployeeID,Date,CheckInTime,CheckOutTime,Status,WorkHours,OvertimeHours
47,85,2023-10-28,19:05:37,18:07:12,Half-day,0.0,0.0
48,59,2023-10-23,01:04:18,03:25:07,Half-day,0.0,0.0
49,99,2024-02-24,10:14:52,16:50:53,Absent,0.0,0.0
50,53,2024-02-04,00:20:05,04:49:25,Half-day,0.0,0.0
51,76,2023-09-07,04:16:02,05:37:46,Present,5.07,0.0
52,68,2024-05-06,06:22:41,20:19:10,Absent,0.0,0.0
53,75,2023-09-12,04:03:51,12:19:41,Present,6.9,1.18
54,90,2024-02-18,07:03:48,10:48:31,Absent,0.0,0.0
55,96,2023-12-30,18:37:47,12:41:51,Half-day,0.0,0.0
56,80,2023-06-29,22:42:26,15:40:21,Present,5.45,0.0
57,61,2023-06-02,04:27:54,17:51:08,Present,7.15,1.84
58,83,2024-02-07,07:33:09,13:31:29,Half-day,0.0,0.0
59,51,2024-04-11,12:30:58,11:46:30,Present,7.0,0.91
60,64,2024-01-18,14:25:05,20:59:19,Absent,0.0,0.0
61,131,2024-04-25,23:22:27,12:57:59,Late,0.0,0.0
62,120,2023-12-07,15:05:46,09:27:22,Present,6.71,1.11
63,114,2023-12-18,18:20:12,10:46:56,Absent,0.0,0.0
64,134,2024-02-25,22:23:11,18:28:26,Present,5.49,0.0
65,118,2023-11-18,04:02:20,04:03:18,Late,0.0,0.0
66,141,2024-01-21,01:33:28,06:08:53,Half-day,0.0,0.0
67,150,2023-06-25,23:08:21,06:20:31,Late,0.0,0.0
68,128,2023-10-03,11:47:54,04:31:52,Present,5.19,0.73
69,139,2023-12-01,08:58:07,12:26:38,Absent,0.0,0.0
70,118,2024-04-10,15:45:20,17:49:50,Absent,0.0,0.0
71,144,2023-11-11,07:56:50,08:21:09,Half-day,0.0,0.0
72,147,2023-06-29,09:03:11,21:06:50,Late,0.0,0.0
73,117,2023-12-13,15:20:48,17:39:13,Half-day,0.0,0.0
74,150,2024-01-22,08:13:37,19:17:10,Present,7.05,0.0
75,131,2024-01-04,03:13:14,06:49:37,Late,0.0,0.0
76,146,2023-12-31,08:13:37,08:09:31,Late,0.0,0.0
77,126,2024-03-29,23:33:10,05:45:42,Half-day,0.0,0.0
78,143,2023-09-29,02:26:35,21:46:19,Absent,0.0,0.0
79,144,2023-07-03,11:06:04,17:01:28,Half-day,0.0,0.0
80,137,2023-08-24,07:52:07,20:35:36,Absent,0.0,0.0
81,112,2024-02-16,11:47:41,13:11:51,Present,7.64,0.35
82,112,2024-04-01,20:50:29,12:08:23,Half-day,0.0,0.0
83,128,2023-08-01,19:00:28,00:50:45,Late,0.0,0.0
84,137,2023-08-08,17:15:42,13:19:03,Half-day,0.0,0.0
85,124,2023-06-28,19:51:41,20:14:41,Half-day,0.0,0.0
86,146,2024-01-04,11:44:39,00:08:55,Half-day,0.0,0.0
87,135,2024-03-20,15:51:53,18:39:30,Present,5.62,1.89
88,105,2023-11-19,12:47:35,12:32:37,Late,0.0,0.0
89,104,2023-09-08,12:50:22,21:02:55,Half-day,0.0,0.0
90,142,2023-11-13,14:19:42,08:07:50,Half-day,0.0,0.0
91,181,2023-12-20,01:27:29,01:02:25,Present,5.06,0.0
92,185,2024-04-16,06:43:38,04:03:38,Late,0.0,0.0
93,180,2023-07-11,05:29:07,09:43:07,Absent,0.0,0.0
94,179,2023-06-19,17:27:12,08:28:47,Absent,0.0,0.0
95,179,2024-01-11,07:22:10,12:31:48,Half-day,0.0,0.0
96,188,2024-01-17,01:13:46,17:04:22,Present,7.23,0.0
97,157,2023-12-21,23:41:17,10:18:00,Present,6.81,0.0
98,177,2024-01-28,10:59:15,14:55:32,Late,0.0,0.0
99,178,2024-03-11,08:29:01,05:11:38,Present,6.94,0.0
100,163,2024-01-15,03:07:55,14:06:40,Half-day,0.0,0.0
101,184,2024-05-04,14:50:17,08:19:28,Absent,0.0,0.0
102,153,2023-09-17,04:26:34,22:21:32,Absent,0.0,0.0
103,164,2024-01-14,22:19:19,05:51:54,Late,0.0,0.0
104,196,2023-08-31,22:28:50,14:55:59,Late,0.0,0.0
105,155,2023-08-21,00:53:37,15:45:51,Half-day,0.0,0.0
106,177,2024-01-20,15:28:34,18:25:12,Absent,0.0,0.0
107,171,2023-06-20,13:19:27,13:15:48,Half-day,0.0,0.0
108,200,2023-09-10,13:24:59,18:27:13,Absent,0.0,0.0
109,177,2023-12-02,20:52:53,08:34:02,Absent,0.0,0.0
110,163,2024-01-03,04:45:21,10:35:17,Absent,0.0,0.0
111,166,2023-12-16,13:38:27,11:59:04,Present,4.37,0.0
112,168,2023-08-04,18:08:03,01:26:10,Present,4.54,0.0
113,171,2024-05-09,16:04:57,05:03:49,Late,0.0,0.0
114,182,2024-01-22,00:13:57,14:49:48,Half-day,0.0,0.0
115,153,2024-01-08,00:15:49,12:28:42,Present,5.42,0.0
116,199,2024-01-09,20:03:43,08:32:52,Absent,0.0,0.0
117,166,2023-06-09,03:19:57,06:31:55,Half-day,0.0,0.0
118,156,2023-06-30,23:58:01,08:18:43,Half-day,0.0,0.0
119,171,2023-08-24,16:13:07,00:30:00,Half-day,0.0,0.0
120,189,2023-09-23,14:13:02,08:24:44,Half-day,0.0,0.0
121,233,2024-01-15,04:25:08,06:26:13,Late,0.0,0.0
122,214,2024-05-02,21:48:33,16:28:20,Absent,0.0,0.0
123,236,2023-10-06,21:50:22,01:38:27,Present,4.84,0.72
124,208,2023-08-24,06:02:04,17:27:49,Present,5.81,1.29
125,222,2024-01-13,08:26:26,15:59:07,Half-day,0.0,0.0
126,244,2024-03-28,10:34:20,22:36:40,Present,7.94,1.62
127,239,2023-11-29,03:57:27,15:49:54,Half-day,0.0,0.0
128,243,2024-02-13,07:56:57,14:46:38,Present,6.21,0.0
129,246,2023-11-16,12:35:00,00:59:25,Absent,0.0,0.0
130,248,2023-06-21,00:06:50,19:02:23,Present,4.25,0.0
131,235,2024-03-11,13:36:24,18:12:55,Late,0.0,0.0
132,236,2024-05-09,18:33:00,11:13:28,Absent,0.0,0.0
133,210,2023-11-04,08:08:11,15:03:19,Late,0.0,0.0
134,211,2023-08-13,14:50:17,05:19:11,Absent,0.0,0.0
135,223,2023-12-24,09:19:11,13:55:09,Late,0.0,0.0
136,248,2023-11-12,13:54:56,16:20:56,Present,4.9,0.0
137,222,2024-01-24,16:08:41,07:38:30,Present,7.76,1.47
138,217,2023-10-02,20:04:08,11:32:02,Half-day,0.0,0.0
139,221,2024-04-03,00:27:18,20:49:01,Absent,0.0,0.0
140,220,2023-12-14,01:03:24,04:21:10,Present,4.81,0.0
141,250,2023-10-11,05:56:32,07:23:28,Late,0.0,0.0
142,215,2023-11-08,10:11:07,02:18:10,Half-day,0.0,0.0
143,242,2023-07-31,10:16:44,15:06:59,Late,0.0,0.0
144,219,2024-04-07,09:23:13,09:51:58,Absent,0.0,0.0
145,226,2024-04-04,21:55:44,10:21:36,Late,0.0,0.0
146,230,2023-12-16,05:28:01,17:40:08,Late,0.0,0.0
147,241,2023-10-07,07:44:15,10:30:12,Present,4.72,1.5
148,243,2023-08-13,16:06:44,01:11:32,Late,0.0,0.0
149,236,2023-10-17,03:33:52,09:43:08,Late,0.0,0.0
150,213,2023-12-24,09:01:57,00:25:50,Present,4.07,0.0
151,282,2024-03-11,10:49:18,14:13:32,Present,4.43,0.0
152,293,2023-08-26,16:52:06,17:39:16,Half-day,0.0,0.0
153,294,2023-08-10,23:15:36,00:20:44,Half-day,0.0,0.0
154,284,2023-10-27,12:19:11,14:57:14,Absent,0.0,0.0
155,256,2024-01-10,20:36:55,18:08:07,Half-day,0.0,0.0
156,261,2024-01-09,15:29:06,10:34:20,Absent,0.0,0.0
157,286,2024-05-07,13:59:36,22:48:13,Late,0.0,0.0
158,256,2023-06-30,21:56:38,07:42:10,Absent,0.0,0.0
159,261,2024-02-10,11:35:46,09:24:16,Late,0.0,0.0
160,294,2023-11-03,08:42:16,18:51:51,Absent,0.0,0.0
161,272,2024-03-03,22:10:44,16:07:06,Late,0.0,0.0
162,263,2023-12-12,21:30:20,01:41:44,Present,5.66,0.57
163,282,2024-04-08,19:07:09,06:40:33,Late,0.0,0.0
164,274,2023-07-16,14:30:02,22:36:25,Present,8.0,0.0
165,268,2024-02-07,17:36:42,19:50:33,Present,5.91,0.79
166,267,2023-07-31,21:09:45,22:55:41,Late,0.0,0.0
167,261,2023-12-09,17:10:01,11:42:11,Half-day,0.0,0.0
168,275,2023-12-02,18:06:36,11:17:18,Present,4.06,1.63
169,265,2023-10-05,14:02:28,13:43:19,Half-day,0.0,0.0
170,256,2024-02-26,22:14:53,20:30:34,Half-day,0.0,0.0
171,266,2023-07-27,01:22:51,15:01:43,Absent,0.0,0.0
172,274,2023-10-18,08:48:17,02:54:32,Late,0.0,0.0
173,275,2023-07-03,06:32:01,16:47:08,Late,0.0,0.0
174,254,2024-04-02,23:23:47,10:22:52,Half-day,0.0,0.0
175,255,2024-03-07,05:34:58,15:29:28,Absent,0.0,0.0
176,257,2023-10-13,12:19:23,14:46:21,Late,0.0,0.0
177,269,2023-05-23,14:26:48,17:24:34,Present,7.5,0.0
178,299,2023-08-13,16:54:56,02:46:20,Late,0.0,0.0
179,268,2023-10-15,03:36:24,17:57:54,Late,0.0,0.0
180,255,2023-06-19,13:59:38,01:46:36,Absent,0.0,0.0
181,350,2024-04-03,10:00:35,01:39:20,Half-day,0.0,0.0
182,343,2023-10-29,19:37:41,19:05:25,Half-day,0.0,0.0
183,307,2023-05-29,08:19:12,05:38:53,Half-day,0.0,0.0
184,307,2024-02-09,10:46:36,00:36:29,Present,7.02,0.18
185,301,2023-10-14,12:04:58,19:25:50,Half-day,0.0,0.0
186,325,2024-03-03,00:33:43,19:36:23,Absent,0.0,0.0
187,301,2024-05-21,07:15:27,02:23:54,Present,7.57,0.21
188,318,2023-12-12,11:19:06,07:25:07,Half-day,0.0,0.0
189,331,2024-02-09,17:17:02,00:48:39,Absent,0.0,0.0
190,312,2024-01-27,04:30:42,08:38:06,Present,4.37,0.0
191,346,2024-03-03,04:57:15,19:27:47,Half-day,0.0,0.0
192,303,2023-12-30,07:08:51,17:48:20,Late,0.0,0.0
193,315,2023-10-14,16:23:37,08:18:22,Present,6.8,1.72
194,332,2023-07-06,19:28:47,03:59:21,Present,5.9,0.0
195,322,2024-05-05,14:09:19,14:47:34,Half-day,0.0,0.0
196,318,2024-01-30,12:21:15,07:19:35,Absent,0.0,0.0
197,301,2023-11-20,10:23:27,18:39:56,Half-day,0.0,0.0
198,320,2024-01-15,17:23:34,14:03:23,Present,4.7,0.0
199,318,2024-02-03,00:27:46,09:28:11,Half-day,0.0,0.0
200,307,2023-06-14,08:22:54,02:30:40,Late,0.0,0.0
201,313,2024-02-14,02:42:25,01:40:10,Late,0.0,0.0
202,319,2023-09-06,00:42:17,09:29:47,Present,6.89,0.0
203,301,2023-12-28,08:46:03,08:03:36,Present,7.81,0.0
204,303,2023-10-22,11:19:00,16:21:42,Present,4.5,0.0
205,329,2023-09-23,15:52:12,08:01:32,Absent,0.0,0.0
206,336,2024-03-30,16:50:09,00:21:01,Late,0.0,0.0
207,344,2023-08-08,23:43:34,09:34:36,Half-day,0.0,0.0
208,318,2023-12-06,00:34:40,12:05:54,Half-day,0.0,0.0
209,315,2023-06-12,14:37:01,17:44:36,Absent,0.0,0.0
210,347,2023-08-30,05:22:24,10:24:04,Late,0.0,0.0
211,391,2023-08-20,09:40:36,13:07:59,Absent,0.0,0.0
212,360,2024-02-07,17:11:31,10:21:44,Late,0.0,0.0
213,366,2023-08-29,03:01:32,13:24:07,Half-day,0.0,0.0
214,375,2023-06-15,20:56:40,07:55:26,Half-day,0.0,0.0
215,356,2023-12-21,00:27:15,15:11:27,Half-day,0.0,0.0
216,378,2023-07-12,15:47:30,02:10:32,Half-day,0.0,0.0
217,380,2023-09-08,13:59:31,00:27:06,Present,4.32,0.0
218,379,2023-11-19,05:03:10,18:31:53,Half-day,0.0,0.0
219,385,2024-05-22,07:26:52,23:42:09,Absent,0.0,0.0
220,360,2023-07-19,02:01:07,13:58:55,Present,4.49,0.0
221,355,2023-06-16,07:58:59,21:03:00,Present,4.74,0.0
222,398,2024-02-21,01:07:12,15:26:06,Late,0.0,0.0
223,385,2024-02-13,10:24:41,16:57:58,Absent,0.0,0.0
224,368,2023-12-19,12:26:05,09:31:33,Present,7.31,0.0
225,379,2024-04-03,05:54:14,15:46:02,Present,5.04,0.77
226,386,2024-02-09,09:16:04,07:21:37,Late,0.0,0.0
227,371,2024-04-28,13:23:30,20:55:03,Late,0.0,0.0
228,389,2024-02-11,20:25:33,06:54:36,Half-day,0.0,0.0
229,380,2024-04-13,15:10:43,02:14:18,Late,0.0,0.0
230,386,2023-09-18,05:15:33,23:29:38,Late,0.0,0.0
231,370,2023-11-18,11:06:41,03:20:42,Absent,0.0,0.0
232,388,2024-04-17,02:46:38,09:44:15,Half-day,0.0,0.0
233,359,2024-05-20,04:38:13,12:06:55,Present,4.1,0.0
234,394,2023-10-10,01:55:22,23:49:46,Late,0.0,0.0
235,375,2023-10-14,20:12:14,14:11:53,Late,0.0,0.0
236,383,2023-06-08,10:46:57,03:39:38,Half-day,0.0,0.0
237,380,2023-06-08,19:02:37,00:01:03,Absent,0.0,0.0
238,359,2023-06-27,05:08:12,07:22:30,Late,0.0,0.0
239,357,2023-06-20,10:42:26,04:40:52,Late,0.0,0.0
240,355,2023-08-29,10:45:06,23:04:05,Late,0.0,0.0
241,444,2023-09-20,21:44:44,12:26:31,Present,5.68,0.95
242,419,2023-12-31,18:03:29,13:39:23,Late,0.0,0.0
243,402,2023-12-18,22:57:47,01:08:24,Absent,0.0,0.0
244,445,2023-11-05,17:17:51,10:57:32,Absent,0.0,0.0
245,438,2024-04-14,05:49:10,05:13:13,Absent,0.0,0.0
246,421,2024-03-28,15:43:26,06:52:50,Late,0.0,0.0
247,448,2023-08-26,16:15:01,11:43:17,Half-day,0.0,0.0
248,401,2024-01-17,03:15:30,18:33:43,Present,6.77,0.29
249,427,2024-05-14,21:19:54,10:16:32,Present,4.91,0.04
250,447,2023-09-21,12:59:30,02:07:17,Present,7.93,1.07
251,401,2023-11-29,13:54:10,15:49:23,Half-day,0.0,0.0
252,445,2024-04-27,05:47:01,14:22:24,Half-day,0.0,0.0
253,408,2023-09-26,10:54:37,15:27:34,Half-day,0.0,0.0
254,428,2024-03-21,06:21:08,00:25:58,Late,0.0,0.0
255,428,2024-04-15,22:15:44,22:00:19,Absent,0.0,0.0
256,401,2023-06-16,20:39:17,20:27:27,Late,0.0,0.0
257,430,2024-04-29,23:34:20,10:51:19,Half-day,0.0,0.0
258,405,2024-03-15,19:22:25,20:44:13,Half-day,0.0,0.0
259,417,2023-11-30,23:08:29,04:26:44,Half-day,0.0,0.0
260,415,2023-11-11,17:07:04,14:56:11,Late,0.0,0.0
261,448,2024-02-01,18:27:42,11:30:45,Absent,0.0,0.0
262,403,2023-07-03,08:14:57,22:36:45,Half-day,0.0,0.0
263,404,2024-02-14,02:31:03,07:11:01,Present,7.94,0.81
264,409,2023-11-21,15:41:16,11:54:46,Late,0.0,0.0
265,415,2024-02-17,14:24:05,09:24:28,Late,0.0,0.0
266,411,2023-05-26,08:45:06,23:55:47,Late,0.0,0.0
267,426,2024-02-05,21:57:30,00:32:34,Half-day,0.0,0.0
268,421,2023-12-14,10:04:43,06:55:30,Half-day,0.0,0.0
269,432,2023-08-11,00:24:32,02:00:09,Half-day,0.0,0.0
270,406,2023-09-03,11:09:44,02:10:41,Late,0.0,0.0
271,497,2023-08-03,05:22:15,00:35:09,Present,5.06,0.2
272,464,2023-06-02,15:48:14,22:36:41,Half-day,0.0,0.0
273,471,2024-03-10,03:27:58,10:57:14,Half-day,0.0,0.0
274,488,2023-08-22,03:38:56,09:52:30,Absent,0.0,0.0
275,485,2023-09-19,01:28:08,04:07:21,Absent,0.0,0.0
276,497,2023-09-03,02:47:42,03:02:58,Absent,0.0,0.0
277,495,2023-08-27,11:42:35,07:30:27,Half-day,0.0,0.0
278,465,2024-04-02,11:12:19,14:41:54,Present,5.72,0.58
279,479,2023-12-23,01:31:18,01:42:51,Absent,0.0,0.0
280,473,2023-06-24,01:18:51,11:59:47,Present,7.74,0.0
281,474,2023-11-01,12:41:26,17:53:14,Late,0.0,0.0
282,469,2023-11-25,17:54:01,01:48:55,Present,5.52,0.82
283,492,2024-03-22,19:05:51,16:47:56,Late,0.0,0.0
284,467,2023-12-22,13:36:40,09:33:06,Present,4.08,0.0
285,497,2024-01-24,17:00:43,03:48:16,Absent,0.0,0.0
286,485,2023-07-25,04:36:46,07:26:28,Present,6.37,0.0
287,491,2024-02-13,17:37:19,20:28:18,Half-day,0.0,0.0
288,482,2023-08-08,11:58:40,13:51:37,Absent,0.0,0.0
289,469,2023-10-31,00:01:21,21:35:27,Late,0.0,0.0
290,464,2024-03-30,06:40:00,08:36:06,Half-day,0.0,0.0
291,456,2023-11-05,05:28:01,19:30:51,Absent,0.0,0.0
292,499,2024-02-16,02:09:53,11:41:31,Absent,0.0,0.0
293,453,2023-12-15,17:59:33,15:43:28,Half-day,0.0,0.0
294,500,2023-09-23,00:18:00,03:26:52,Half-day,0.0,0.0
295,473,2023-06-30,17:26:36,23:00:55,Absent,0.0,0.0
296,478,2024-04-04,03:49:50,15:31:24,Present,7.21,0.41
297,461,2023-07-12,14:36:45,05:29:35,Absent,0.0,0.0
298,475,2024-03-28,14:28:09,02:03:09,Absent,0.0,0.0
299,483,2023-12-09,22:28:07,10:00:19,Half-day,0.0,0.0
300,482,2023-12-19,02:56:01,06:48:35,Present,6.29,0.0
301,516,2023-08-14,16:30:15,00:16:22,Absent,0.0,0.0
302,515,2023-09-02,17:54:02,09:56:11,Half-day,0.0,0.0
303,518,2023-10-12,14:41:07,13:25:50,Present,4.37,0.86
304,535,2023-06-30,04:29:50,19:09:14,Late,0.0,0.0
305,509,2023-05-24,11:03:21,21:30:09,Absent,0.0,0.0
306,505,2024-02-12,10:29:04,18:42:03,Half-day,0.0,0.0
307,545,2024-03-14,15:56:21,10:18:00,Half-day,0.0,0.0
308,516,2024-01-03,06:12:18,03:13:04,Half-day,0.0,0.0
309,530,2024-01-18,12:03:05,06:14:58,Absent,0.0,0.0
310,515,2023-07-08,00:16:47,11:52:25,Absent,0.0,0.0
311,536,2024-04-25,19:27:15,03:48:39,Absent,0.0,0.0
312,525,2023-09-13,08:34:06,19:04:29,Absent,0.0,0.0
313,504,2023-08-08,03:16:13,23:16:27,Absent,0.0,0.0
314,532,2024-01-12,10:31:11,01:57:31,Absent,0.0,0.0
315,529,2024-04-27,20:06:14,11:13:47,Absent,0.0,0.0
316,519,2023-07-25,03:00:30,23:18:55,Half-day,0.0,0.0
317,536,2023-07-12,05:50:05,11:41:52,Half-day,0.0,0.0
318,507,2024-02-08,22:32:41,17:17:35,Present,5.21,0.0
319,519,2023-11-02,17:36:53,09:15:55,Late,0.0,0.0
320,530,2024-03-27,13:18:10,07:36:09,Present,4.5,0.72
321,508,2023-07-13,23:10:07,21:00:12,Present,4.71,0.0
322,509,2023-08-31,13:00:21,22:47:42,Half-day,0.0,0.0
323,525,2023-10-17,22:42:08,16:20:24,Present,5.17,1.43
324,536,2024-03-07,02:34:50,02:47:33,Half-day,0.0,0.0
325,536,2024-01-30,16:58:59,20:06:04,Absent,0.0,0.0
326,512,2023-06-17,21:11:02,12:11:26,Late,0.0,0.0
327,518,2023-09-05,06:29:05,10:51:05,Late,0.0,0.0
328,508,2023-07-20,00:39:09,04:44:16,Half-day,0.0,0.0
329,541,2024-04-08,03:20:38,10:59:46,Late,0.0,0.0
330,502,2023-10-19,20:27:31,18:36:14,Late,0.0,0.0
331,600,2024-04-06,06:23:42,01:03:10,Absent,0.0,0.0
332,583,2024-04-04,16:18:18,04:09:30,Present,5.28,1.0
333,595,2023-05-27,09:45:00,15:59:30,Absent,0.0,0.0
334,594,2023-08-07,06:57:18,17:07:04,Half-day,0.0,0.0
335,563,2024-03-05,16:21:05,00:43:56,Absent,0.0,0.0
336,586,2023-11-09,15:11:43,09:33:53,Present,6.04,1.89
337,554,2024-04-18,20:26:21,15:26:13,Present,4.08,0.69
338,574,2024-02-21,00:09:23,22:05:13,Present,4.22,0.0
339,562,2024-03-27,22:35:25,16:23:41,Present,5.64,0.0
340,597,2024-04-12,23:15:11,02:42:12,Half-day,0.0,0.0
341,562,2024-02-01,23:36:09,06:00:41,Half-day,0.0,0.0
342,569,2024-04-15,18:51:49,14:35:49,Absent,0.0,0.0
343,595,2024-02-03,19:34:11,11:45:11,Present,7.27,0.0
344,563,2023-11-26,00:57:00,23:00:38,Half-day,0.0,0.0
345,576,2023-12-21,19:53:37,10:53:10,Half-day,0.0,0.0
346,600,2024-02-01,19:36:27,08:35:56,Present,7.59,1.78
347,565,2024-03-14,19:29:12,21:49:35,Absent,0.0,0.0
348,555,2023-09-08,23:09:03,13:00:36,Present,4.31,1.24
349,586,2024-04-30,23:01:19,07:22:03,Present,5.87,0.0
350,565,2023-05-28,07:43:48,19:04:12,Present,4.01,0.0
351,559,2023-12-22,08:38:50,20:59:00,Present,6.9,0.91
352,582,2024-05-06,08:24:54,00:13:54,Present,6.65,0.0
353,594,2024-05-21,15:55:53,13:15:11,Half-day,0.0,0.0
354,600,2024-02-13,18:17:13,17:15:02,Late,0.0,0.0
355,567,2023-08-13,04:34:26,07:58:24,Late,0.0,0.0
356,568,2023-08-07,14:57:26,10:18:21,Late,0.0,0.0
357,558,2024-02-07,21:05:09,13:41:17,Half-day,0.0,0.0
358,598,2024-04-30,08:39:50,10:48:15,Half-day,0.0,0.0
359,592,2023-09-09,10:14:17,20:14:52,Half-day,0.0,0.0
360,575,2023-08-22,18:19:36,10:24:30,Late,0.0,0.0
361,602,2023-08-06,03:42:12,11:55:12,Half-day,0.0,0.0
362,608,2023-08-12,08:29:33,17:27:47,Half-day,0.0,0.0
363,640,2024-04-08,04:28:04,07:14:43,Late,0.0,0.0
364,634,2023-08-13,22:38:20,05:03:34,Present,5.25,0.0
365,613,2023-11-05,00:00:40,18:15:13,Present,6.69,0.0
366,615,2024-03-01,11:45:36,10:26:54,Late,0.0,0.0
367,624,2023-08-10,01:29:24,12:22:21,Present,4.66,0.26
368,601,2023-08-27,12:03:09,14:52:33,Present,4.71,0.0
369,622,2023-07-01,01:27:52,21:02:27,Present,6.63,0.0
370,644,2024-04-29,03:04:17,01:24:55,Late,0.0,0.0
371,606,2023-06-14,11:15:45,01:46:04,Late,0.0,0.0
372,633,2023-10-13,09:27:02,10:49:55,Present,5.14,1.0
373,608,2023-06-13,02:54:34,23:26:42,Half-day,0.0,0.0
374,631,2024-03-24,17:15:00,08:23:42,Half-day,0.0,0.0
375,621,2023-10-14,11:02:11,17:49:44,Late,0.0,0.0
376,608,2023-07-04,01:03:46,12:48:13,Present,7.16,0.72
377,622,2024-04-24,18:42:30,15:45:36,Absent,0.0,0.0
378,612,2023-11-23,06:56:36,11:00:35,Half-day,0.0,0.0
379,633,2024-04-01,01:19:09,19:46:57,Present,6.14,0.92
380,636,2023-10-01,23:21:40,07:57:27,Late,0.0,0.0
381,613,2023-06-27,10:57:49,02:11:50,Late,0.0,0.0
382,631,2024-03-10,13:08:11,16:43:33,Half-day,0.0,0.0
383,618,2024-02-24,23:40:15,07:18:18,Half-day,0.0,0.0
384,612,2024-04-04,14:55:21,11:30:43,Absent,0.0,0.0
385,603,2023-10-29,05:43:37,06:37:37,Half-day,0.0,0.0
386,612,2023-08-07,22:32:33,14:17:06,Late,0.0,0.0
387,604,2023-10-09,06:28:54,14:26:26,Absent,0.0,0.0
388,626,2023-09-19,01:52:39,23:16:03,Present,4.38,0.0
389,650,2024-02-24,07:46:24,19:08:45,Late,0.0,0.0
390,621,2023-08-18,16:44:16,22:04:58,Half-day,0.0,0.0
391,661,2023-07-31,06:17:33,19:29:51,Half-day,0.0,0.0
392,668,2024-01-06,04:53:42,18:32:25,Half-day,0.0,0.0
393,680,2024-02-07,14:36:37,03:48:18,Late,0.0,0.0
394,689,2024-03-23,00:40:29,03:20:46,Absent,0.0,0.0
395,689,2024-01-12,05:07:52,09:18:46,Present,6.44,0.5
396,679,2023-06-29,18:02:36,06:42:49,Present,4.94,1.27
397,683,2023-09-16,06:28:19,14:31:09,Half-day,0.0,0.0
398,674,2024-04-22,20:45:03,08:39:57,Late,0.0,0.0
399,671,2023-11-11,05:14:46,21:05:35,Present,7.19,0.0
