BonusID,EmployeeID,BonusAmount,BonusDate,BonusDescription
176,176,540.81,2023-12-19,Holiday bonus.
177,177,1167.03,2023-10-12,Year-end performance bonus.
178,178,1032.58,2023-11-11,Sales target achievement bonus.
179,179,1904.46,2024-01-17,Sales target achievement bonus.
180,180,961.17,2023-07-14,Year-end performance bonus.
181,181,1909.31,2023-10-25,Sales target achievement bonus.
182,182,1052.14,2023-10-28,Sales target achievement bonus.
183,183,1069.36,2023-08-26,Project completion bonus.
184,184,917.95,2024-05-22,Employee of the month bonus.
185,185,919.99,2023-07-15,Employee of the month bonus.
186,186,1279.89,2024-03-20,Employee of the month bonus.
187,187,1940.85,2024-01-26,Year-end performance bonus.
188,188,605.21,2024-04-12,Holiday bonus.
189,189,1596.12,2023-07-26,Year-end performance bonus.
190,190,1331.37,2023-11-10,Project completion bonus.
191,191,1780.43,2024-04-09,Employee of the month bonus.
192,192,1335.61,2024-04-06,Employee of the month bonus.
193,193,536.96,2023-10-27,Sales target achievement bonus.
194,194,567.05,2023-07-10,Employee of the month bonus.
195,195,815.81,2024-03-31,Project completion bonus.
196,196,1874.74,2023-12-30,Sales target achievement bonus.
197,197,1373.4,2023-07-25,Project completion bonus.
198,198,598.51,2024-04-28,Sales target achievement bonus.
199,199,1392.0,2023-09-01,Holiday bonus.
200,200,1520.03,2023-09-30,Holiday bonus.
201,201,1295.67,2024-03-10,Holiday bonus.
202,202,1783.0,2023-09-06,Employee of the month bonus.
203,203,975.09,2024-02-20,Sales target achievement bonus.
204,204,871.73,2023-08-14,Employee of the month bonus.
205,205,667.28,2024-01-14,Holiday bonus.
206,206,1169.22,2023-10-24,Employee of the month bonus.
207,207,1433.93,2023-09-16,Sales target achievement bonus.
208,208,1877.93,2024-02-20,Sales target achievement bonus.
209,209,1198.53,2023-11-19,Year-end performance bonus.
210,210,1151.21,2023-11-25,Sales target achievement bonus.
211,211,1924.98,2023-12-15,Holiday bonus.
212,212,1922.58,2023-07-02,Year-end performance bonus.
213,213,938.06,2024-03-01,Year-end performance bonus.
214,214,656.01,2024-04-21,Year-end performance bonus.
215,215,1408.83,2023-08-11,Sales target achievement bonus.
216,216,1036.86,2023-07-10,Sales target achievement bonus.
217,217,605.92,2023-12-26,Project completion bonus.
218,218,932.66,2023-10-10,Sales target achievement bonus.
219,219,557.85,2023-06-05,Sales target achievement bonus.
220,220,895.39,2023-10-18,Year-end performance bonus.
221,221,784.29,2023-07-11,Sales target achievement bonus.
222,222,949.53,2024-04-03,Project completion bonus.
223,223,561.07,2023-12-12,Project completion bonus.
224,224,834.45,2024-02-28,Project completion bonus.
225,225,1568.34,2023-12-14,Sales target achievement bonus.
226,226,950.45,2023-10-29,Year-end performance bonus.
227,227,546.58,2023-07-28,Sales target achievement bonus.
228,228,1011.65,2023-07-24,Year-end performance bonus.
229,229,1677.13,2023-07-15,Holiday bonus.
230,230,1232.54,2023-11-03,Sales target achievement bonus.
231,231,1066.88,2023-08-01,Year-end performance bonus.
232,232,718.98,2024-04-14,Holiday bonus.
233,233,1067.26,2023-08-05,Sales target achievement bonus.
234,234,832.55,2023-09-27,Year-end performance bonus.
235,235,1879.43,2023-09-23,Holiday bonus.
236,236,704.35,2024-01-29,Sales target achievement bonus.
237,237,1614.09,2023-07-08,Employee of the month bonus.
238,238,1804.31,2024-05-11,Year-end performance bonus.
239,239,1003.26,2023-10-12,Holiday bonus.
240,240,1506.68,2024-03-18,Project completion bonus.
241,241,1905.82,2024-01-01,Sales target achievement bonus.
242,242,1221.0,2024-05-17,Employee of the month bonus.
243,243,1452.38,2023-06-28,Year-end performance bonus.
244,244,695.9,2024-03-03,Year-end performance bonus.
245,245,1825.09,2024-03-28,Year-end performance bonus.
246,246,1805.66,2023-09-22,Project completion bonus.
247,247,1174.74,2023-06-16,Project completion bonus.
248,248,1494.15,2024-03-09,Employee of the month bonus.
249,249,609.47,2023-07-09,Holiday bonus.
250,250,1664.95,2024-03-16,Project completion bonus.
251,251,696.95,2024-03-10,Year-end performance bonus.
252,252,1639.13,2023-11-28,Project completion bonus.
253,253,855.59,2023-08-16,Holiday bonus.
254,254,522.46,2024-03-17,Employee of the month bonus.
255,255,623.44,2023-06-07,Sales target achievement bonus.
256,256,1440.16,2024-02-18,Sales target achievement bonus.
257,257,1787.95,2024-05-08,Holiday bonus.
258,258,1070.85,2023-08-14,Holiday bonus.
259,259,1990.61,2023-06-11,Project completion bonus.
260,260,1770.73,2024-03-05,Holiday bonus.
261,261,555.35,2023-05-31,Sales target achievement bonus.
262,262,1980.12,2023-09-06,Sales target achievement bonus.
263,263,1595.43,2024-03-03,Year-end performance bonus.
264,264,1464.34,2023-12-30,Sales target achievement bonus.
265,265,941.93,2024-02-05,Year-end performance bonus.
266,266,1771.58,2023-11-22,Year-end performance bonus.
267,267,816.3,2023-05-29,Year-end performance bonus.
268,268,1226.55,2023-05-27,Year-end performance bonus.
269,269,1023.78,2023-08-12,Sales target achievement bonus.
270,270,600.05,2023-05-25,Employee of the month bonus.
271,271,1561.98,2023-11-15,Project completion bonus.
272,272,1252.42,2023-08-06,Holiday bonus.
273,273,640.33,2023-12-10,Employee of the month bonus.
274,274,1758.33,2024-01-10,Year-end performance bonus.
275,275,1519.49,2023-10-06,Project completion bonus.
276,276,1827.8,2024-02-18,Project completion bonus.
277,277,807.32,2024-03-15,Holiday bonus.
278,278,713.31,2024-03-10,Employee of the month bonus.
279,279,1824.03,2023-07-07,Employee of the month bonus.
280,280,1813.14,2024-01-23,Project completion bonus.
281,281,570.94,2023-06-21,Holiday bonus.
282,282,1392.0,2023-12-04,Employee of the month bonus.
283,283,1987.82,2023-11-11,Holiday bonus.
284,284,1631.19,2023-06-19,Employee of the month bonus.
285,285,1468.57,2024-01-28,Sales target achievement bonus.
286,286,831.5,2023-09-19,Employee of the month bonus.
287,287,1551.67,2023-10-23,Holiday bonus.
288,288,761.91,2024-05-12,Sales target achievement bonus.
289,289,1638.92,2023-11-22,Employee of the month bonus.
290,290,944.73,2023-08-26,Sales target achievement bonus.
291,291,1419.41,2023-06-09,Holiday bonus.
292,292,1066.37,2024-02-19,Employee of the month bonus.
293,293,722.61,2023-10-06,Holiday bonus.
294,294,1650.47,2023-06-22,Year-end performance bonus.
295,295,1598.18,2024-03-06,Year-end performance bonus.
296,296,779.43,2023-12-13,Employee of the month bonus.
297,297,669.27,2023-06-21,Holiday bonus.
298,298,1789.2,2024-04-03,Employee of the month bonus.
299,299,1073.89,2024-04-14,Employee of the month bonus.
300,300,1600.97,2023-11-10,Year-end performance bonus.
301,301,1780.81,2024-02-12,Holiday bonus.
302,302,891.4,2023-08-23,Sales target achievement bonus.
303,303,619.15,2023-06-04,Year-end performance bonus.
304,304,1400.78,2023-07-29,Year-end performance bonus.
305,305,1381.79,2024-02-08,Year-end performance bonus.
306,306,980.42,2023-08-09,Project completion bonus.
307,307,996.92,2023-08-31,Year-end performance bonus.
308,308,1059.93,2024-04-29,Sales target achievement bonus.
309,309,1392.37,2023-09-26,Year-end performance bonus.
310,310,845.64,2023-06-23,Project completion bonus.
311,311,773.23,2023-09-29,Employee of the month bonus.
312,312,685.39,2024-03-06,Project completion bonus.
313,313,1344.8,2024-05-06,Holiday bonus.
314,314,1055.06,2024-02-06,Year-end performance bonus.
315,315,1017.69,2024-02-12,Holiday bonus.
316,316,1475.43,2023-10-06,Project completion bonus.
317,317,1051.2,2024-03-17,Holiday bonus.
318,318,623.97,2023-08-05,Sales target achievement bonus.
319,319,1557.5,2023-11-25,Sales target achievement bonus.
320,320,1664.19,2023-07-03,Year-end performance bonus.
321,321,817.01,2024-05-07,Employee of the month bonus.
322,322,1266.31,2023-11-23,Sales target achievement bonus.
323,323,1308.59,2023-09-16,Holiday bonus.
324,324,1753.62,2023-07-26,Holiday bonus.
325,325,634.17,2024-04-01,Employee of the month bonus.
326,326,1924.34,2023-07-26,Holiday bonus.
327,327,1855.51,2023-06-21,Project completion bonus.
328,328,1520.75,2024-02-09,Project completion bonus.
329,329,1288.62,2023-11-12,Holiday bonus.
330,330,1597.46,2024-03-29,Project completion bonus.
331,331,1502.83,2023-10-21,Employee of the month bonus.
332,332,1243.56,2024-04-25,Sales target achievement bonus.
333,333,1686.09,2023-09-28,Sales target achievement bonus.
334,334,1325.49,2024-05-11,Project completion bonus.
335,335,602.25,2023-11-26,Project completion bonus.
336,336,1255.55,2023-08-30,Sales target achievement bonus.
337,337,1065.39,2024-01-30,Employee of the month bonus.
338,338,1968.9,2023-12-29,Sales target achievement bonus.
339,339,1797.05,2023-08-16,Project completion bonus.
340,340,1559.56,2023-11-06,Holiday bonus.
341,341,1810.11,2024-02-10,Employee of the month bonus.
342,342,1677.7,2023-09-19,Project completion bonus.
343,343,1377.59,2023-10-15,Sales target achievement bonus.
344,344,1995.9,2024-03-02,Sales target achievement bonus.
345,345,1315.75,2024-01-25,Holiday bonus.
346,346,789.17,2024-03-31,Year-end performance bonus.
347,347,1530.21,2023-07-24,Year-end performance bonus.
348,348,675.38,2024-02-22,Project completion bonus.
349,349,1972.54,2023-12-29,Employee of the month bonus.
350,350,1189.03,2023-10-22,Project completion bonus.
351,351,677.87,2023-08-22,Holiday bonus.
352,352,1892.31,2024-04-01,Employee of the month bonus.
353,353,1836.28,2023-09-17,Holiday bonus.
354,354,1655.63,2023-08-04,Project completion bonus.
355,355,621.88,2024-04-28,Year-end performance bonus.
356,356,660.77,2024-03-02,Employee of the month bonus.
357,357,1989.27,2023-11-18,Employee of the month bonus.
358,358,1235.92,2023-08-11,Holiday bonus.
359,359,1794.74,2024-04-08,Year-end performance bonus.
360,360,1620.57,2023-06-08,Project completion bonus.
361,361,643.21,2023-11-13,Year-end performance bonus.
362,362,969.39,2024-02-06,Year-end performance bonus.
363,363,576.62,2024-01-08,Employee of the month bonus.
364,364,1994.54,2023-10-09,Project completion bonus.
365,365,812.44,2023-06-25,Sales target achievement bonus.
366,366,1083.29,2023-07-01,Project completion bonus.
367,367,1803.37,2024-02-18,Sales target achievement bonus.
368,368,1704.97,2023-08-16,Year-end performance bonus.
369,369,1932.88,2023-06-19,Holiday bonus.
370,370,1562.81,2023-06-17,Holiday bonus.
371,371,511.13,2023-06-10,Project completion bonus.
372,372,1690.01,2023-09-20,Sales target achievement bonus.
373,373,1617.53,2023-11-05,Project completion bonus.
374,374,1873.5,2023-10-13,Employee of the month bonus.
375,375,1844.85,2023-10-07,Year-end performance bonus.
376,376,676.81,2024-05-04,Year-end performance bonus.
377,377,623.37,2024-04-24,Sales target achievement bonus.
378,378,1292.26,2023-07-14,Employee of the month bonus.
379,379,630.72,2024-05-21,Employee of the month bonus.
380,380,1519.51,2023-12-28,Holiday bonus.
381,381,868.65,2023-07-21,Year-end performance bonus.
382,382,1398.76,2024-04-02,Holiday bonus.
383,383,1076.34,2024-01-27,Project completion bonus.
384,384,1804.83,2024-03-08,Year-end performance bonus.
385,385,1911.8,2024-03-10,Project completion bonus.
386,386,570.56,2023-08-12,Sales target achievement bonus.
387,387,1691.06,2023-09-18,Project completion bonus.
388,388,1694.67,2023-09-02,Sales target achievement bonus.
389,389,908.11,2023-12-20,Sales target achievement bonus.
390,390,1554.44,2024-04-22,Employee of the month bonus.
391,391,1264.51,2023-09-25,Holiday bonus.
392,392,1091.61,2024-02-27,Sales target achievement bonus.
393,393,818.49,2023-06-21,Holiday bonus.
394,394,1429.23,2024-04-24,Sales target achievement bonus.
395,395,1537.72,2024-02-04,Employee of the month bonus.
396,396,1140.06,2023-11-27,Year-end performance bonus.
397,397,569.89,2023-11-19,Holiday bonus.
398,398,1050.95,2024-04-12,Holiday bonus.
399,399,777.59,2024-05-21,Holiday bonus.
400,400,1512.6,2024-04-23,Sales target achievement bonus.
401,401,1017.29,2023-12-16,Project completion bonus.
402,402,1978.68,2023-09-11,Holiday bonus.
403,403,1010.35,2024-05-21,Employee of the month bonus.
404,404,810.47,2023-06-06,Holiday bonus.
405,405,1668.4,2024-01-29,Sales target achievement bonus.
406,406,1801.25,2023-10-26,Holiday bonus.
407,407,1358.42,2023-07-30,Project completion bonus.
408,408,608.03,2023-12-07,Employee of the month bonus.
409,409,1110.84,2024-02-13,Holiday bonus.
410,410,768.36,2024-01-06,Holiday bonus.
411,411,1008.46,2024-02-19,Employee of the month bonus.
412,412,1875.44,2023-10-26,Sales target achievement bonus.
413,413,1415.38,2024-05-13,Sales target achievement bonus.
414,414,755.19,2024-03-05,Sales target achievement bonus.
415,415,1951.36,2023-07-30,Employee of the month bonus.
416,416,847.04,2023-10-02,Holiday bonus.
417,417,1288.98,2023-06-21,Year-end performance bonus.
418,418,1064.78,2024-03-02,Employee of the month bonus.
419,419,763.4,2023-08-19,Project completion bonus.
420,420,953.7,2024-03-30,Holiday bonus.
421,421,1635.9,2023-12-15,Project completion bonus.
422,422,1666.35,2023-12-13,Employee of the month bonus.
423,423,1734.0,2024-01-26,Employee of the month bonus.
424,424,1812.25,2023-08-11,Employee of the month bonus.
425,425,1376.48,2023-07-14,Sales target achievement bonus.
426,426,560.43,2024-04-16,Project completion bonus.
427,427,1114.35,2023-11-03,Project completion bonus.
428,428,1407.7,2023-07-05,Employee of the month bonus.
429,429,1451.07,2023-07-03,Holiday bonus.
430,430,1886.95,2024-02-19,Employee of the month bonus.
431,431,806.03,2023-08-16,Sales target achievement bonus.
432,432,547.12,2024-01-24,Project completion bonus.
433,433,1986.59,2024-01-03,Project completion bonus.
434,434,1775.56,2024-04-08,Employee of the month bonus.
435,435,738.46,2024-05-06,Holiday bonus.
436,436,642.01,2023-11-04,Holiday bonus.
437,437,1713.69,2023-07-09,Employee of the month bonus.
438,438,1754.19,2023-12-05,Holiday bonus.
439,439,1134.36,2023-12-10,Sales target achievement bonus.
440,440,1787.54,2023-09-20,Holiday bonus.
441,441,1726.34,2023-12-04,Sales target achievement bonus.
442,442,1906.87,2023-08-14,Sales target achievement bonus.
443,443,1648.14,2023-11-28,Project completion bonus.
444,444,1127.26,2024-05-09,Employee of the month bonus.
445,445,735.06,2023-06-24,Year-end performance bonus.
446,446,1464.08,2023-10-19,Sales target achievement bonus.
447,447,1520.41,2023-06-30,Holiday bonus.
448,448,1064.91,2023-06-13,Project completion bonus.
449,449,661.4,2024-05-22,Project completion bonus.
450,450,1793.2,2023-11-09,Employee of the month bonus.
451,451,905.37,2023-10-05,Year-end performance bonus.
452,452,1355.87,2024-02-23,Year-end performance bonus.
453,453,719.15,2023-12-24,Project completion bonus.
454,454,1091.97,2023-07-06,Year-end performance bonus.
455,455,1097.3,2024-03-25,Sales target achievement bonus.
456,456,1806.34,2023-08-29,Holiday bonus.
457,457,1846.91,2024-01-18,Year-end performance bonus.
458,458,1156.94,2024-04-05,Project completion bonus.
459,459,1650.35,2024-01-16,Project completion bonus.
460,460,1079.15,2023-12-20,Year-end performance bonus.
461,461,813.44,2023-12-21,Sales target achievement bonus.
462,462,576.35,2024-03-24,Project completion bonus.
463,463,514.59,2023-07-28,Employee of the month bonus.
464,464,896.19,2023-10-30,Employee of the month bonus.
465,465,843.36,2023-07-10,Project completion bonus.
466,466,778.01,2023-09-18,Holiday bonus.
467,467,567.91,2024-02-12,Holiday bonus.
468,468,987.48,2023-11-26,Year-end performance bonus.
469,469,1177.9,2023-12-20,Year-end performance bonus.
470,470,1638.84,2024-01-30,Sales target achievement bonus.
471,471,1471.05,2024-01-26,Holiday bonus.
472,472,1393.89,2023-09-19,Employee of the month bonus.
473,473,689.49,2024-02-26,Year-end performance bonus.
474,474,1209.71,2023-12-05,Project completion bonus.
475,475,542.34,2024-05-14,Project completion bonus.
476,476,621.71,2023-09-30,Holiday bonus.
477,477,748.64,2023-08-09,Sales target achievement bonus.
478,478,1288.92,2023-08-14,Year-end performance bonus.
479,479,1036.81,2023-07-26,Holiday bonus.
480,480,1042.0,2023-10-01,Holiday bonus.
481,481,1450.01,2023-06-05,Holiday bonus.
482,482,1939.27,2023-08-25,Employee of the month bonus.
483,483,521.4,2024-04-13,Sales target achievement bonus.
484,484,628.26,2023-12-08,Employee of the month bonus.
485,485,825.88,2024-01-23,Employee of the month bonus.
486,486,1428.84,2024-03-23,Holiday bonus.
487,487,661.77,2023-08-12,Project completion bonus.
488,488,1004.05,2024-05-18,Sales target achievement bonus.
489,489,861.81,2023-08-28,Sales target achievement bonus.
490,490,518.77,2023-12-26,Holiday bonus.
491,491,1459.84,2023-12-24,Sales target achievement bonus.
492,492,824.69,2024-02-11,Year-end performance bonus.
493,493,1625.37,2023-05-30,Employee of the month bonus.
494,494,1975.3,2024-02-17,Year-end performance bonus.
495,495,1583.37,2024-04-13,Project completion bonus.
496,496,1058.43,2023-09-01,Employee of the month bonus.
497,497,1450.97,2024-05-21,Employee of the month bonus.
498,498,1242.27,2023-08-13,Employee of the month bonus.
499,499,1753.93,2023-10-08,Sales target achievement bonus.
500,500,1789.93,2023-06-26,Year-end performance bonus.
501,501,1521.53,2023-10-16,Year-end performance bonus.
502,502,1367.87,2023-12-05,Sales target achievement bonus.
503,503,868.0,2023-09-29,Year-end performance bonus.
504,504,1064.23,2023-08-12,Year-end performance bonus.
505,505,1552.9,2024-05-08,Holiday bonus.
506,506,905.0,2023-10-21,Year-end performance bonus.
507,507,555.3,2023-12-27,Employee of the month bonus.
508,508,1847.74,2024-02-08,Employee of the month bonus.
509,509,1072.54,2023-09-08,Project completion bonus.
510,510,1194.13,2023-06-27,Project completion bonus.
511,511,1013.76,2024-05-19,Employee of the month bonus.
512,512,1402.76,2023-11-28,Sales target achievement bonus.
513,513,1747.55,2024-01-13,Project completion bonus.
514,514,1398.64,2024-03-16,Holiday bonus.
515,515,1519.02,2024-02-27,Holiday bonus.
516,516,1111.77,2023-07-24,Year-end performance bonus.
517,517,1560.74,2024-04-06,Project completion bonus.
518,518,856.89,2023-08-19,Project completion bonus.
519,519,732.95,2023-07-05,Employee of the month bonus.
520,520,1033.78,2024-03-13,Sales target achievement bonus.
521,521,1230.52,2024-04-29,Employee of the month bonus.
522,522,868.74,2023-05-31,Project completion bonus.
523,523,851.76,2024-01-26,Project completion bonus.
524,524,1362.64,2024-02-19,Project completion bonus.
525,525,1472.33,2024-01-08,Holiday bonus.
526,526,1032.4,2023-06-29,Employee of the month bonus.
527,527,1915.07,2024-01-21,Holiday bonus.
528,528,1530.15,2023-11-28,Holiday bonus.
529,529,718.11,2023-11-09,Employee of the month bonus.
530,530,555.3,2023-07-09,Employee of the month bonus.
531,531,954.6,2023-07-18,Holiday bonus.
532,532,1020.83,2024-01-16,Employee of the month bonus.
533,533,559.89,2023-10-03,Employee of the month bonus.
534,534,1462.86,2023-07-20,Employee of the month bonus.
