UsageID,CompanyID,EmployeeID,ModuleName,TaskDescription,StartTime,EndTime,TaskDuration,CompletionStatus,ErrorDetails,LastUsedDate
73,1,24,Payroll,Create payroll notifications,2024-04-04 23:42:24.863630,2024-04-04 23:58:24.863630,16.0,Not completed,Database error,2024-04-14 16:09:49.191547
74,1,42,Payroll,Edit payroll,2024-05-07 08:51:58.098145,2024-05-07 09:49:58.098145,58.0,Not completed,Unable to process user input,2024-05-13 20:42:23.302758
75,1,45,Payroll,Edit payroll,2024-05-18 17:44:46.763515,2024-05-18 17:49:46.763515,5.0,Not completed,Unable to process user input,2024-04-03 04:00:09.318221
76,1,26,Performance Review,Edit existing review,2024-05-03 18:46:42.243105,2024-05-03 19:06:42.243105,20.0,Completed,,2024-05-21 15:55:53.766563
77,1,14,Leave Management,Appeal leave status,2024-03-27 09:22:45.198096,2024-03-27 09:54:45.198096,32.0,Completed,,2024-05-03 23:58:42.070505
78,1,11,Payroll,Submit payroll,2024-05-14 07:04:14.629062,2024-05-14 07:20:14.629062,16.0,Completed,,2024-04-13 16:26:47.887933
79,1,39,Payroll,Create payroll notifications,2024-04-08 02:39:33.051190,2024-04-08 02:45:33.051190,6.0,Not completed,Database error,2024-04-29 04:01:35.315918
80,1,37,Performance Review,Delete review,2024-04-19 18:27:53.334006,2024-04-19 18:37:53.334006,10.0,Completed,,2024-04-03 11:52:47.906300
81,1,26,Payroll,Submit payroll,2024-04-21 13:15:50.837985,2024-04-21 13:37:50.837985,22.0,Not completed,Connection timeout,2024-04-17 19:08:34.865084
82,1,39,Payroll,Edit payroll,2024-04-27 11:36:40.367877,2024-04-27 11:42:40.367877,6.0,Not completed,Invalid data format,2024-04-23 19:15:11.237284
83,1,49,Leave Management,Create new leave,2024-04-11 19:22:35.574154,2024-04-11 19:37:35.574154,15.0,Not completed,Connection timeout,2024-04-14 14:06:50.963063
84,1,25,Leave Management,Submit for approval,2024-05-13 19:44:05.625320,2024-05-13 20:18:05.625320,34.0,Completed,,2024-04-08 03:01:02.623520
85,1,50,Payroll,Submit payroll,2024-04-26 23:10:53.656020,2024-04-26 23:21:53.656020,11.0,Completed,,2024-03-24 14:46:28.455086
86,1,20,Payroll,Submit payroll,2024-05-07 23:25:58.074512,2024-05-08 00:08:58.074512,43.0,Completed,,2024-04-13 07:06:26.898248
87,1,32,Payroll,Create payroll notifications,2024-03-26 15:20:23.091376,2024-03-26 15:47:23.091376,27.0,Not completed,Permission denied,2024-04-09 22:44:59.699834
88,1,26,Performance Review,Edit existing review,2024-04-07 11:14:39.738650,2024-04-07 11:22:39.738650,8.0,Not completed,Permission denied,2024-05-20 20:20:12.812635
89,1,13,Leave Management,Submit for approval,2024-04-14 06:55:16.433249,2024-04-14 07:05:16.433249,10.0,Not completed,Invalid data format,2024-04-10 08:57:48.138164
90,1,3,Performance Review,Start new review,2024-04-14 17:06:24.392655,2024-04-14 17:23:24.392655,17.0,Not completed,Invalid data format,2024-05-20 11:14:58.489979
91,1,32,Leave Management,Submit for approval,2024-05-01 09:59:19.750185,2024-05-01 10:19:19.750185,20.0,Not completed,Invalid data format,2024-04-30 15:29:13.640835
92,1,42,Payroll,Create payroll notifications,2024-05-06 09:32:03.501930,2024-05-06 09:54:03.501930,22.0,Not completed,Database error,2024-04-16 11:10:58.086730
93,1,11,Performance Review,Start new review,2024-04-18 01:43:55.651146,2024-04-18 02:36:55.651146,53.0,Not completed,Connection timeout,2024-05-02 10:56:08.403785
94,1,45,Leave Management,Appeal leave status,2024-03-23 22:50:28.188031,2024-03-23 23:46:28.188031,56.0,Not completed,Database error,2024-04-04 13:25:05.719078
95,1,9,Performance Review,Edit existing review,2024-04-13 04:53:43.901496,2024-04-13 05:15:43.901496,22.0,Not completed,Database error,2024-04-07 10:12:04.190331
96,1,23,Payroll,Edit payroll,2024-05-01 15:19:14.394391,2024-05-01 15:56:14.394391,37.0,Not completed,Permission denied,2024-04-15 21:30:08.358907
97,1,29,Leave Management,Appeal leave status,2024-05-16 02:52:25.590717,2024-05-16 03:42:25.590717,50.0,Not completed,Unable to process user input,2024-04-27 10:12:27.123523
98,1,19,Payroll,Edit payroll,2024-04-18 01:42:54.719054,2024-04-18 02:40:54.719054,58.0,Completed,,2024-04-17 07:59:23.452661
99,1,33,Performance Review,Edit existing review,2024-05-05 13:23:56.757259,2024-05-05 13:31:56.757259,8.0,Completed,,2024-04-18 07:17:35.662600
100,1,28,Payroll,Edit payroll,2024-05-03 03:31:39.017278,2024-05-03 03:44:39.017278,13.0,Not completed,Permission denied,2024-03-26 16:55:16.974488
101,2,62,Performance Review,Delete review,2024-04-19 22:54:03.632023,2024-04-19 23:16:03.632023,22.0,Completed,,2024-04-08 15:07:42.024347
102,2,86,Payroll,Create payroll notifications,2024-04-02 10:51:47.450540,2024-04-02 11:40:47.450540,49.0,Not completed,Invalid data format,2024-04-24 22:57:24.254284
103,2,71,Payroll,Create payroll notifications,2024-04-22 12:06:04.664205,2024-04-22 12:31:04.664205,25.0,Completed,,2024-04-27 00:21:23.658267
104,2,85,Leave Management,Create new leave,2024-05-08 19:44:39.095937,2024-05-08 20:33:39.095937,49.0,Completed,,2024-05-16 15:12:52.922820
105,2,67,Performance Review,Delete review,2024-04-22 22:47:07.395111,2024-04-22 22:52:07.395111,5.0,Not completed,Permission denied,2024-04-11 20:16:13.888717
106,2,73,Leave Management,Appeal leave status,2024-04-21 06:21:10.518940,2024-04-21 06:32:10.518940,11.0,Not completed,Unable to process user input,2024-05-12 01:57:07.036700
107,2,54,Leave Management,Appeal leave status,2024-05-16 02:16:45.847667,2024-05-16 03:16:45.847667,60.0,Completed,,2024-05-12 06:52:16.835505
108,2,93,Leave Management,Submit for approval,2024-04-04 07:07:39.090276,2024-04-04 07:19:39.090276,12.0,Not completed,Unable to process user input,2024-05-23 15:55:45.075424
109,2,76,Leave Management,Submit for approval,2024-05-01 09:01:35.181256,2024-05-01 10:00:35.181256,59.0,Completed,,2024-03-28 22:29:26.892745
110,2,66,Performance Review,Submit for approval,2024-05-07 00:02:27.611614,2024-05-07 00:36:27.611614,34.0,Not completed,Connection timeout,2024-05-22 21:31:58.109131
111,2,87,Payroll,Create payroll notifications,2024-04-17 07:19:56.664039,2024-04-17 07:53:56.664039,34.0,Not completed,Permission denied,2024-05-04 03:21:21.692195
112,2,76,Payroll,Edit payroll,2024-04-12 02:17:05.151266,2024-04-12 03:09:05.151266,52.0,Completed,,2024-04-05 20:23:44.614017
113,2,63,Payroll,Create payroll notifications,2024-05-06 12:01:24.875949,2024-05-06 12:23:24.875949,22.0,Completed,,2024-03-24 00:03:28.718122
114,2,94,Leave Management,Delete leave submission,2024-05-12 21:56:06.187046,2024-05-12 22:39:06.187046,43.0,Not completed,Unable to process user input,2024-04-25 00:05:06.781658
115,2,82,Performance Review,Delete review,2024-03-29 19:23:46.824285,2024-03-29 20:23:46.824285,60.0,Not completed,Database error,2024-03-31 02:14:03.359632
116,2,83,Performance Review,Delete review,2024-05-02 08:38:49.050139,2024-05-02 09:01:49.050139,23.0,Not completed,Database error,2024-05-16 00:17:23.723023
117,2,74,Payroll,Create payroll notifications,2024-04-09 21:26:06.568986,2024-04-09 21:54:06.568986,28.0,Not completed,Connection timeout,2024-05-22 09:24:15.446429
118,2,86,Leave Management,Delete leave submission,2024-03-29 22:53:43.405796,2024-03-29 23:05:43.405796,12.0,Completed,,2024-05-14 19:30:06.572395
119,2,87,Leave Management,Submit for approval,2024-04-16 23:51:19.605049,2024-04-16 23:56:19.605049,5.0,Not completed,Invalid data format,2024-03-28 19:23:34.365494
120,2,99,Payroll,Edit payroll,2024-04-09 13:44:30.196185,2024-04-09 14:21:30.196185,37.0,Completed,,2024-04-20 10:02:10.254838
121,2,89,Payroll,Create payroll notifications,2024-05-11 01:33:39.476634,2024-05-11 02:16:39.476634,43.0,Not completed,Database error,2024-05-15 06:20:19.796822
122,2,85,Leave Management,Create new leave,2024-03-31 23:25:51.283128,2024-04-01 00:04:51.283128,39.0,Completed,,2024-04-24 13:09:45.235889
123,2,89,Leave Management,Create new leave,2024-05-02 10:51:47.550860,2024-05-02 10:56:47.550860,5.0,Completed,,2024-04-13 23:22:06.547272
124,2,84,Payroll,Edit payroll,2024-05-15 21:40:34.514064,2024-05-15 21:47:34.514064,7.0,Completed,,2024-04-09 19:08:18.352831
125,2,81,Payroll,Submit payroll,2024-03-24 23:44:13.364392,2024-03-25 00:22:13.364392,38.0,Not completed,Permission denied,2024-03-26 07:59:25.588483
126,2,79,Payroll,Submit payroll,2024-05-04 06:58:47.277844,2024-05-04 07:55:47.277844,57.0,Not completed,Unable to process user input,2024-04-26 19:54:15.361830
127,2,75,Performance Review,Submit for approval,2024-05-20 10:39:38.610189,2024-05-20 11:16:38.610189,37.0,Completed,,2024-05-19 22:53:10.872155
128,2,100,Performance Review,Start new review,2024-05-18 05:08:37.862719,2024-05-18 05:17:37.862719,9.0,Completed,,2024-03-26 09:56:56.014631
129,2,55,Payroll,Submit payroll,2024-05-08 10:28:20.133401,2024-05-08 10:39:20.133401,11.0,Not completed,Database error,2024-05-05 12:39:43.204374
130,2,88,Payroll,Create payroll notifications,2024-05-02 17:32:55.449164,2024-05-02 18:02:55.449164,30.0,Completed,,2024-05-06 04:46:18.139633
131,2,59,Payroll,Edit payroll,2024-05-17 18:43:00.512702,2024-05-17 19:07:00.512702,24.0,Not completed,Connection timeout,2024-05-01 19:19:26.867444
132,2,98,Payroll,Edit payroll,2024-04-15 12:27:03.856958,2024-04-15 13:08:03.856958,41.0,Completed,,2024-04-25 14:04:39.534274
133,2,59,Performance Review,Start new review,2024-04-05 12:06:04.327203,2024-04-05 12:28:04.327203,22.0,Completed,,2024-04-28 13:54:45.836968
134,2,95,Performance Review,Edit existing review,2024-03-24 09:36:24.187969,2024-03-24 09:48:24.187969,12.0,Completed,,2024-04-02 01:08:00.791177
135,2,84,Payroll,Create payroll notifications,2024-04-13 03:26:42.530716,2024-04-13 04:10:42.530716,44.0,Not completed,Permission denied,2024-05-10 21:35:30.146253
136,2,55,Payroll,Submit payroll,2024-05-06 13:44:22.821755,2024-05-06 14:27:22.821755,43.0,Not completed,Unable to process user input,2024-04-13 10:31:24.213899
137,2,99,Payroll,Create payroll notifications,2024-04-30 14:42:01.727262,2024-04-30 15:24:01.727262,42.0,Completed,,2024-03-26 08:46:42.435503
138,2,73,Payroll,Create payroll notifications,2024-04-02 19:52:41.411745,2024-04-02 20:20:41.411745,28.0,Completed,,2024-05-22 14:22:01.935083
139,2,84,Payroll,Edit payroll,2024-04-10 11:22:36.936482,2024-04-10 11:41:36.936482,19.0,Not completed,Unable to process user input,2024-04-16 21:04:30.062769
140,2,64,Leave Management,Submit for approval,2024-04-26 05:29:25.389740,2024-04-26 05:58:25.389740,29.0,Not completed,Database error,2024-04-10 17:02:12.202093
141,2,91,Leave Management,Appeal leave status,2024-04-21 22:39:59.266307,2024-04-21 23:17:59.266307,38.0,Completed,,2024-04-07 10:37:29.246309
142,2,62,Payroll,Edit payroll,2024-03-26 19:04:39.235852,2024-03-26 19:57:39.235852,53.0,Completed,,2024-04-03 18:50:27.920588
143,2,58,Payroll,Create payroll notifications,2024-04-24 16:21:09.294749,2024-04-24 16:34:09.294749,13.0,Completed,,2024-03-28 04:05:12.135821
144,2,52,Leave Management,Delete leave submission,2024-04-17 09:18:25.259144,2024-04-17 10:05:25.259144,47.0,Completed,,2024-04-12 20:18:30.079770
145,2,81,Performance Review,Submit for approval,2024-04-18 02:10:31.656401,2024-04-18 02:20:31.656401,10.0,Completed,,2024-03-29 21:45:21.432377
146,2,97,Leave Management,Create new leave,2024-05-18 03:24:03.492661,2024-05-18 04:13:03.492661,49.0,Completed,,2024-04-21 16:44:17.473057
147,2,78,Performance Review,Submit for approval,2024-05-14 00:23:19.164931,2024-05-14 00:51:19.164931,28.0,Completed,,2024-05-22 06:04:00.337571
148,2,97,Payroll,Submit payroll,2024-04-13 18:24:06.719583,2024-04-13 19:13:06.719583,49.0,Not completed,Invalid data format,2024-04-22 00:09:30.698498
149,2,83,Performance Review,Start new review,2024-05-05 10:08:11.817175,2024-05-05 10:36:11.817175,28.0,Completed,,2024-04-18 19:25:31.344894
150,2,85,Payroll,Submit payroll,2024-04-11 05:26:32.675044,2024-04-11 06:16:32.675044,50.0,Not completed,Database error,2024-05-07 13:28:10.426416
151,2,80,Performance Review,Delete review,2024-05-17 06:34:56.408568,2024-05-17 07:09:56.408568,35.0,Not completed,Permission denied,2024-05-18 19:30:30.307107
152,2,68,Leave Management,Delete leave submission,2024-04-30 23:45:33.201436,2024-05-01 00:12:33.201436,27.0,Not completed,Permission denied,2024-04-15 17:00:35.325398
153,2,53,Payroll,Submit payroll,2024-05-22 03:37:47.447758,2024-05-22 04:14:47.447758,37.0,Completed,,2024-05-01 17:28:49.482008
154,2,96,Leave Management,Submit for approval,2024-03-27 20:44:40.984544,2024-03-27 21:39:40.984544,55.0,Not completed,Unable to process user input,2024-03-29 00:14:48.024967
155,2,74,Payroll,Edit payroll,2024-05-08 11:32:42.394165,2024-05-08 11:41:42.394165,9.0,Not completed,Permission denied,2024-03-27 13:54:47.984752
156,2,53,Leave Management,Appeal leave status,2024-03-24 08:04:45.406200,2024-03-24 08:18:45.406200,14.0,Not completed,Invalid data format,2024-04-16 19:38:17.427945
157,2,59,Leave Management,Create new leave,2024-04-24 10:26:38.544202,2024-04-24 10:44:38.544202,18.0,Completed,,2024-04-20 03:33:43.126604
158,2,69,Performance Review,Edit existing review,2024-04-22 14:04:37.880501,2024-04-22 14:24:37.880501,20.0,Not completed,Permission denied,2024-04-28 10:38:47.913569
159,2,90,Payroll,Submit payroll,2024-05-04 04:30:21.572387,2024-05-04 04:44:21.572387,14.0,Not completed,Database error,2024-04-18 14:19:07.784285
160,2,80,Performance Review,Edit existing review,2024-04-15 06:26:18.293413,2024-04-15 07:10:18.293413,44.0,Not completed,Permission denied,2024-05-22 23:55:26.161787
161,2,90,Performance Review,Submit for approval,2024-04-08 17:35:43.598230,2024-04-08 18:14:43.598230,39.0,Not completed,Connection timeout,2024-05-10 03:18:22.021786
162,2,81,Leave Management,Submit for approval,2024-04-19 02:16:02.088776,2024-04-19 02:39:02.088776,23.0,Completed,,2024-04-14 16:06:45.635582
163,2,100,Payroll,Create payroll notifications,2024-03-27 17:51:30.161827,2024-03-27 18:17:30.161827,26.0,Not completed,Connection timeout,2024-05-15 09:34:44.352723
164,2,100,Performance Review,Submit for approval,2024-05-05 13:39:14.165539,2024-05-05 14:01:14.165539,22.0,Not completed,Connection timeout,2024-05-17 19:09:20.413003
165,2,71,Payroll,Edit payroll,2024-04-20 08:02:27.710755,2024-04-20 08:55:27.710755,53.0,Completed,,2024-05-04 01:01:42.508065
166,2,98,Performance Review,Edit existing review,2024-03-31 02:14:36.958452,2024-03-31 02:35:36.958452,21.0,Completed,,2024-04-17 01:41:29.351296
167,2,59,Performance Review,Submit for approval,2024-04-05 11:12:26.617897,2024-04-05 11:50:26.617897,38.0,Completed,,2024-03-26 10:05:25.355416
168,2,93,Payroll,Create payroll notifications,2024-05-20 12:47:26.887942,2024-05-20 13:39:26.887942,52.0,Not completed,Permission denied,2024-04-05 23:51:21.155810
169,2,92,Leave Management,Create new leave,2024-04-01 18:18:59.498617,2024-04-01 18:35:59.498617,17.0,Completed,,2024-04-04 21:41:00.579686
170,2,61,Leave Management,Create new leave,2024-04-15 20:36:09.750847,2024-04-15 21:29:09.750847,53.0,Completed,,2024-04-26 02:26:03.196095
171,2,74,Performance Review,Delete review,2024-04-02 01:35:16.609290,2024-04-02 02:10:16.609290,35.0,Completed,,2024-05-23 00:15:39.541885
172,2,90,Payroll,Edit payroll,2024-05-22 15:56:13.492411,2024-05-22 16:32:13.492411,36.0,Not completed,Unable to process user input,2024-04-01 21:18:22.481366
173,2,57,Payroll,Create payroll notifications,2024-04-17 13:18:16.380296,2024-04-17 13:41:16.380296,23.0,Not completed,Unable to process user input,2024-05-04 05:25:17.002609
174,2,74,Leave Management,Appeal leave status,2024-05-16 06:08:04.529920,2024-05-16 06:49:04.529920,41.0,Not completed,Connection timeout,2024-04-22 23:59:14.895146
175,2,90,Leave Management,Appeal leave status,2024-05-18 15:39:01.530909,2024-05-18 16:29:01.530909,50.0,Completed,,2024-04-12 11:27:33.152158
