GoalID,EmployeeID,GoalDescription,StartDate,EndDate,Status,Progress
115,115,Reduce the error rate in data processing by 5% by the end of the year.,2024-01-25,2024-04-22,In Progress,91.88
116,116,Complete the new feature development by the end of Q2.,2023-09-09,2024-02-04,On Hold,0.43
117,117,Complete the new feature development by the end of Q2.,2023-08-14,2023-10-23,Not Started,11.07
118,118,Complete the new feature development by the end of Q2.,2023-08-19,2023-09-22,Completed,72.44
119,119,Reduce the error rate in data processing by 5% by the end of the year.,2023-08-08,2023-11-17,Not Started,68.6
120,120,Complete the new feature development by the end of Q2.,2024-03-26,2024-06-21,On Hold,16.5
121,121,Develop a new training program for new hires within the next quarter.,2023-08-20,2023-12-26,In Progress,30.58
122,122,Reduce the error rate in data processing by 5% by the end of the year.,2024-01-21,2024-03-06,In Progress,11.12
123,123,Increase customer satisfaction score by 10% within the next 6 months.,2024-02-04,2024-05-24,On Hold,46.52
124,124,Increase customer satisfaction score by 10% within the next 6 months.,2023-07-20,2023-12-16,In Progress,27.2
125,125,Complete the new feature development by the end of Q2.,2024-04-26,2024-06-01,On Hold,49.08
126,126,Achieve a 20% increase in sales in the next quarter.,2024-02-25,2024-07-31,Completed,80.83
127,127,Reduce the error rate in data processing by 5% by the end of the year.,2023-07-25,2024-01-04,Not Started,3.94
128,128,Achieve a 20% increase in sales in the next quarter.,2024-05-22,2024-10-02,On Hold,3.9
129,129,Reduce the error rate in data processing by 5% by the end of the year.,2023-11-29,2023-12-12,On Hold,63.38
130,130,Increase customer satisfaction score by 10% within the next 6 months.,2023-07-29,2023-11-15,In Progress,50.72
131,131,Increase customer satisfaction score by 10% within the next 6 months.,2023-08-16,2023-11-03,In Progress,48.01
132,132,Complete the new feature development by the end of Q2.,2023-06-06,2023-09-01,In Progress,47.89
133,133,Achieve a 20% increase in sales in the next quarter.,2023-09-03,2023-12-31,In Progress,13.84
134,134,Increase customer satisfaction score by 10% within the next 6 months.,2024-04-14,2024-07-03,On Hold,24.06
135,135,Achieve a 20% increase in sales in the next quarter.,2023-10-28,2024-01-19,Not Started,87.29
136,136,Complete the new feature development by the end of Q2.,2024-03-15,2024-04-19,Completed,26.85
137,137,Develop a new training program for new hires within the next quarter.,2023-08-09,2023-09-02,In Progress,16.04
138,138,Complete the new feature development by the end of Q2.,2024-04-10,2024-05-26,Completed,1.75
139,139,Increase customer satisfaction score by 10% within the next 6 months.,2023-07-08,2023-08-04,Completed,2.05
140,140,Develop a new training program for new hires within the next quarter.,2024-02-18,2024-08-14,In Progress,74.31
141,141,Increase customer satisfaction score by 10% within the next 6 months.,2023-12-05,2023-12-28,Not Started,80.8
142,142,Reduce the error rate in data processing by 5% by the end of the year.,2023-11-08,2023-11-20,In Progress,76.69
143,143,Reduce the error rate in data processing by 5% by the end of the year.,2023-06-21,2023-07-27,In Progress,33.57
144,144,Increase customer satisfaction score by 10% within the next 6 months.,2024-05-03,2024-08-11,Not Started,49.45
145,145,Increase customer satisfaction score by 10% within the next 6 months.,2023-12-01,2024-05-07,Completed,20.24
146,146,Achieve a 20% increase in sales in the next quarter.,2023-06-25,2023-08-17,On Hold,41.0
147,147,Complete the new feature development by the end of Q2.,2024-01-27,2024-04-05,Completed,26.35
148,148,Achieve a 20% increase in sales in the next quarter.,2024-01-15,2024-06-21,On Hold,20.67
149,149,Reduce the error rate in data processing by 5% by the end of the year.,2023-11-07,2023-12-27,Not Started,4.05
150,150,Increase customer satisfaction score by 10% within the next 6 months.,2023-09-04,2023-11-17,Completed,48.52
151,151,Develop a new training program for new hires within the next quarter.,2023-12-03,2024-02-11,Completed,84.05
152,152,Complete the new feature development by the end of Q2.,2023-07-26,2023-08-30,On Hold,19.94
153,153,Increase customer satisfaction score by 10% within the next 6 months.,2024-02-03,2024-06-27,Not Started,59.66
154,154,Develop a new training program for new hires within the next quarter.,2023-08-31,2024-01-19,Completed,7.73
155,155,Reduce the error rate in data processing by 5% by the end of the year.,2024-01-22,2024-02-27,On Hold,64.52
156,156,Develop a new training program for new hires within the next quarter.,2023-12-23,2024-04-27,Completed,84.12
157,157,Achieve a 20% increase in sales in the next quarter.,2023-07-02,2023-11-13,Not Started,64.01
158,158,Achieve a 20% increase in sales in the next quarter.,2023-07-22,2023-09-16,On Hold,59.78
159,159,Reduce the error rate in data processing by 5% by the end of the year.,2023-10-30,2024-03-24,Not Started,61.35
160,160,Achieve a 20% increase in sales in the next quarter.,2023-08-28,2024-01-28,On Hold,83.26
161,161,Achieve a 20% increase in sales in the next quarter.,2023-06-19,2023-11-22,In Progress,30.17
162,162,Achieve a 20% increase in sales in the next quarter.,2023-07-03,2023-12-05,Not Started,42.38
163,163,Increase customer satisfaction score by 10% within the next 6 months.,2024-04-06,2024-05-12,In Progress,12.32
164,164,Increase customer satisfaction score by 10% within the next 6 months.,2023-12-25,2024-06-15,Not Started,13.94
165,165,Complete the new feature development by the end of Q2.,2024-01-31,2024-05-12,Completed,70.75
166,166,Increase customer satisfaction score by 10% within the next 6 months.,2023-11-11,2024-02-04,Not Started,47.89
167,167,Achieve a 20% increase in sales in the next quarter.,2024-04-05,2024-04-29,On Hold,24.19
168,168,Reduce the error rate in data processing by 5% by the end of the year.,2023-06-28,2023-11-19,Completed,77.55
169,169,Achieve a 20% increase in sales in the next quarter.,2023-07-21,2023-11-09,Not Started,63.58
170,170,Reduce the error rate in data processing by 5% by the end of the year.,2023-05-29,2023-09-29,In Progress,67.32
171,171,Increase customer satisfaction score by 10% within the next 6 months.,2023-10-14,2023-12-27,Not Started,61.03
172,172,Achieve a 20% increase in sales in the next quarter.,2023-09-14,2023-12-10,On Hold,62.11
173,173,Increase customer satisfaction score by 10% within the next 6 months.,2024-02-04,2024-03-09,Completed,85.37
174,174,Reduce the error rate in data processing by 5% by the end of the year.,2024-03-14,2024-03-16,In Progress,81.97
175,175,Complete the new feature development by the end of Q2.,2023-12-27,2024-01-16,In Progress,60.83
176,176,Reduce the error rate in data processing by 5% by the end of the year.,2024-01-07,2024-03-27,Not Started,63.87
177,177,Complete the new feature development by the end of Q2.,2023-11-14,2024-01-30,In Progress,38.09
178,178,Develop a new training program for new hires within the next quarter.,2024-04-26,2024-09-07,On Hold,56.39
179,179,Increase customer satisfaction score by 10% within the next 6 months.,2024-02-13,2024-05-19,Completed,10.55
180,180,Increase customer satisfaction score by 10% within the next 6 months.,2023-06-09,2023-09-26,Not Started,87.83
181,181,Complete the new feature development by the end of Q2.,2023-10-04,2024-01-13,On Hold,76.16
182,182,Reduce the error rate in data processing by 5% by the end of the year.,2024-05-21,2024-07-24,Completed,45.62
183,183,Reduce the error rate in data processing by 5% by the end of the year.,2024-03-04,2024-08-10,Not Started,76.03
184,184,Increase customer satisfaction score by 10% within the next 6 months.,2023-07-15,2023-11-12,Completed,6.59
185,185,Complete the new feature development by the end of Q2.,2023-07-21,2023-10-09,On Hold,10.19
186,186,Complete the new feature development by the end of Q2.,2023-09-20,2023-10-13,Not Started,70.2
187,187,Increase customer satisfaction score by 10% within the next 6 months.,2023-06-19,2023-11-21,Completed,81.97
188,188,Reduce the error rate in data processing by 5% by the end of the year.,2023-08-21,2024-01-07,Completed,63.52
189,189,Achieve a 20% increase in sales in the next quarter.,2024-01-21,2024-05-23,In Progress,82.54
190,190,Develop a new training program for new hires within the next quarter.,2023-11-08,2024-01-31,On Hold,74.38
191,191,Develop a new training program for new hires within the next quarter.,2023-05-26,2023-11-08,Not Started,57.35
192,192,Develop a new training program for new hires within the next quarter.,2024-01-27,2024-05-14,Not Started,30.6
193,193,Develop a new training program for new hires within the next quarter.,2024-01-24,2024-07-11,In Progress,53.67
194,194,Increase customer satisfaction score by 10% within the next 6 months.,2023-06-03,2023-11-14,Completed,91.77
195,195,Reduce the error rate in data processing by 5% by the end of the year.,2023-12-31,2024-03-11,Not Started,97.79
196,196,Increase customer satisfaction score by 10% within the next 6 months.,2023-08-14,2023-11-09,On Hold,96.07
197,197,Complete the new feature development by the end of Q2.,2023-10-25,2024-04-03,On Hold,85.7
198,198,Reduce the error rate in data processing by 5% by the end of the year.,2024-05-22,2024-07-18,On Hold,81.27
199,199,Increase customer satisfaction score by 10% within the next 6 months.,2024-02-28,2024-05-04,On Hold,60.45
200,200,Achieve a 20% increase in sales in the next quarter.,2023-06-10,2023-10-25,Completed,46.97
201,201,Reduce the error rate in data processing by 5% by the end of the year.,2023-09-21,2023-11-04,Completed,92.59
202,202,Develop a new training program for new hires within the next quarter.,2024-01-24,2024-03-15,In Progress,41.17
203,203,Increase customer satisfaction score by 10% within the next 6 months.,2024-03-16,2024-08-07,Completed,58.73
204,204,Complete the new feature development by the end of Q2.,2023-07-19,2023-07-19,On Hold,26.93
205,205,Achieve a 20% increase in sales in the next quarter.,2024-04-25,2024-07-13,Not Started,24.86
206,206,Develop a new training program for new hires within the next quarter.,2023-12-02,2024-02-29,On Hold,42.01
207,207,Develop a new training program for new hires within the next quarter.,2023-08-19,2023-09-24,Not Started,39.3
208,208,Reduce the error rate in data processing by 5% by the end of the year.,2023-07-28,2023-08-19,On Hold,57.84
209,209,Increase customer satisfaction score by 10% within the next 6 months.,2023-09-02,2023-09-13,Not Started,21.87
210,210,Achieve a 20% increase in sales in the next quarter.,2023-07-23,2023-10-25,On Hold,30.6
211,211,Achieve a 20% increase in sales in the next quarter.,2024-02-03,2024-04-01,Not Started,77.76
212,212,Reduce the error rate in data processing by 5% by the end of the year.,2023-11-11,2024-01-04,Completed,17.11
213,213,Increase customer satisfaction score by 10% within the next 6 months.,2024-04-22,2024-09-28,On Hold,61.72
214,214,Reduce the error rate in data processing by 5% by the end of the year.,2023-06-02,2023-09-18,Completed,44.43
215,215,Increase customer satisfaction score by 10% within the next 6 months.,2023-09-30,2023-12-04,Not Started,73.39
216,216,Complete the new feature development by the end of Q2.,2024-01-03,2024-04-15,In Progress,12.81
217,217,Complete the new feature development by the end of Q2.,2023-07-15,2024-01-04,On Hold,35.22
218,218,Achieve a 20% increase in sales in the next quarter.,2023-07-01,2023-07-22,Not Started,48.02
219,219,Develop a new training program for new hires within the next quarter.,2024-01-10,2024-03-01,On Hold,71.13
220,220,Complete the new feature development by the end of Q2.,2023-11-10,2024-04-06,Not Started,8.55
221,221,Develop a new training program for new hires within the next quarter.,2024-02-24,2024-08-08,On Hold,84.69
222,222,Reduce the error rate in data processing by 5% by the end of the year.,2024-01-09,2024-04-18,Completed,99.71
223,223,Increase customer satisfaction score by 10% within the next 6 months.,2023-11-04,2024-03-10,In Progress,15.32
224,224,Complete the new feature development by the end of Q2.,2023-11-11,2024-02-26,On Hold,68.12
225,225,Achieve a 20% increase in sales in the next quarter.,2024-02-21,2024-05-26,On Hold,89.85
226,226,Achieve a 20% increase in sales in the next quarter.,2024-04-26,2024-07-27,On Hold,95.2
227,227,Reduce the error rate in data processing by 5% by the end of the year.,2023-09-02,2023-12-18,Not Started,66.86
228,228,Achieve a 20% increase in sales in the next quarter.,2023-07-21,2023-09-11,Not Started,88.12
229,229,Reduce the error rate in data processing by 5% by the end of the year.,2023-09-03,2024-02-17,Not Started,68.36
230,230,Reduce the error rate in data processing by 5% by the end of the year.,2023-07-05,2023-07-26,In Progress,28.17
231,231,Achieve a 20% increase in sales in the next quarter.,2024-01-25,2024-06-16,In Progress,29.47
232,232,Complete the new feature development by the end of Q2.,2024-01-09,2024-03-11,Not Started,38.04
233,233,Complete the new feature development by the end of Q2.,2023-10-11,2024-01-13,On Hold,60.18
234,234,Increase customer satisfaction score by 10% within the next 6 months.,2024-03-31,2024-07-19,Not Started,67.31
235,235,Develop a new training program for new hires within the next quarter.,2023-08-20,2023-10-18,Not Started,58.47
236,236,Complete the new feature development by the end of Q2.,2024-05-19,2024-09-13,On Hold,75.32
237,237,Complete the new feature development by the end of Q2.,2023-11-03,2023-12-01,In Progress,79.06
238,238,Reduce the error rate in data processing by 5% by the end of the year.,2024-05-04,2024-06-06,Completed,72.09
239,239,Complete the new feature development by the end of Q2.,2023-12-17,2024-01-30,Not Started,1.5
240,240,Reduce the error rate in data processing by 5% by the end of the year.,2024-04-06,2024-07-27,In Progress,12.45
241,241,Develop a new training program for new hires within the next quarter.,2024-02-08,2024-02-17,In Progress,83.82
242,242,Complete the new feature development by the end of Q2.,2024-04-04,2024-08-24,In Progress,59.63
243,243,Complete the new feature development by the end of Q2.,2024-03-11,2024-08-06,Not Started,71.04
244,244,Complete the new feature development by the end of Q2.,2024-03-20,2024-06-12,Not Started,53.88
245,245,Increase customer satisfaction score by 10% within the next 6 months.,2024-03-12,2024-05-06,Not Started,19.54
246,246,Increase customer satisfaction score by 10% within the next 6 months.,2023-11-26,2024-05-15,Not Started,86.36
247,247,Achieve a 20% increase in sales in the next quarter.,2023-11-03,2024-04-30,Completed,11.37
248,248,Develop a new training program for new hires within the next quarter.,2024-01-13,2024-02-17,On Hold,2.59
249,249,Achieve a 20% increase in sales in the next quarter.,2023-07-26,2023-12-28,Not Started,2.21
250,250,Increase customer satisfaction score by 10% within the next 6 months.,2023-06-10,2023-10-11,Completed,9.98
251,251,Reduce the error rate in data processing by 5% by the end of the year.,2023-12-18,2024-03-04,Not Started,58.97
252,252,Achieve a 20% increase in sales in the next quarter.,2023-09-12,2023-12-09,In Progress,81.38
253,253,Increase customer satisfaction score by 10% within the next 6 months.,2024-02-07,2024-05-11,Not Started,78.68
254,254,Reduce the error rate in data processing by 5% by the end of the year.,2023-11-10,2024-03-06,On Hold,72.25
255,255,Complete the new feature development by the end of Q2.,2023-12-01,2023-12-03,On Hold,90.87
256,256,Achieve a 20% increase in sales in the next quarter.,2024-01-27,2024-06-10,Not Started,44.54
257,257,Complete the new feature development by the end of Q2.,2023-08-26,2023-10-13,Not Started,88.83
258,258,Develop a new training program for new hires within the next quarter.,2024-02-02,2024-02-03,Not Started,33.57
259,259,Develop a new training program for new hires within the next quarter.,2023-09-14,2024-01-14,On Hold,60.58
260,260,Achieve a 20% increase in sales in the next quarter.,2024-04-06,2024-08-19,On Hold,1.37
261,261,Complete the new feature development by the end of Q2.,2023-12-28,2024-06-02,In Progress,86.17
262,262,Achieve a 20% increase in sales in the next quarter.,2023-06-11,2023-08-08,In Progress,18.89
263,263,Increase customer satisfaction score by 10% within the next 6 months.,2023-11-10,2024-01-25,Not Started,9.38
264,264,Reduce the error rate in data processing by 5% by the end of the year.,2023-07-25,2023-09-20,On Hold,27.88
265,265,Reduce the error rate in data processing by 5% by the end of the year.,2024-03-21,2024-04-17,In Progress,72.16
266,266,Increase customer satisfaction score by 10% within the next 6 months.,2023-10-22,2024-01-07,On Hold,83.85
267,267,Increase customer satisfaction score by 10% within the next 6 months.,2023-08-06,2023-12-21,In Progress,84.87
268,268,Develop a new training program for new hires within the next quarter.,2023-09-12,2024-02-21,Not Started,4.81
269,269,Reduce the error rate in data processing by 5% by the end of the year.,2024-03-20,2024-09-10,Not Started,66.63
270,270,Develop a new training program for new hires within the next quarter.,2023-07-21,2023-07-22,In Progress,32.11
271,271,Reduce the error rate in data processing by 5% by the end of the year.,2024-03-20,2024-05-13,On Hold,92.16
272,272,Develop a new training program for new hires within the next quarter.,2024-02-20,2024-03-12,Not Started,23.1
273,273,Increase customer satisfaction score by 10% within the next 6 months.,2023-12-16,2024-01-14,Not Started,6.57
274,274,Complete the new feature development by the end of Q2.,2023-10-11,2024-01-11,Not Started,44.04
275,275,Develop a new training program for new hires within the next quarter.,2023-08-28,2024-02-22,On Hold,87.8
276,276,Reduce the error rate in data processing by 5% by the end of the year.,2023-07-08,2023-08-21,In Progress,13.26
277,277,Increase customer satisfaction score by 10% within the next 6 months.,2023-09-17,2024-01-22,In Progress,33.99
278,278,Develop a new training program for new hires within the next quarter.,2023-12-30,2024-02-23,Not Started,37.89
279,279,Increase customer satisfaction score by 10% within the next 6 months.,2024-02-02,2024-05-12,On Hold,84.28
280,280,Increase customer satisfaction score by 10% within the next 6 months.,2023-12-14,2024-03-16,Not Started,84.62
281,281,Increase customer satisfaction score by 10% within the next 6 months.,2023-05-31,2023-06-01,On Hold,15.79
282,282,Increase customer satisfaction score by 10% within the next 6 months.,2023-09-12,2023-12-30,Completed,47.13
283,283,Reduce the error rate in data processing by 5% by the end of the year.,2023-10-12,2023-11-15,In Progress,82.81
284,284,Develop a new training program for new hires within the next quarter.,2023-07-31,2023-12-06,On Hold,64.25
285,285,Increase customer satisfaction score by 10% within the next 6 months.,2024-04-25,2024-07-13,On Hold,39.66
286,286,Achieve a 20% increase in sales in the next quarter.,2024-02-14,2024-06-23,Completed,30.69
287,287,Develop a new training program for new hires within the next quarter.,2024-04-23,2024-08-14,Not Started,42.73
288,288,Increase customer satisfaction score by 10% within the next 6 months.,2023-05-26,2023-10-04,On Hold,24.57
289,289,Reduce the error rate in data processing by 5% by the end of the year.,2024-04-20,2024-09-05,In Progress,73.12
