FeedbackID,CompanyID,EmployeeID,ModuleName,FeedbackType,FeedbackText,FeedbackDate,Rating
40,1,37,Leave Management,Suggestion for improvement,Leave status appeal process needs improvement.,2024-01-25,3.0
41,1,37,Performance Review,Bug,The performance review module is missing some key functionalities.,2023-06-01,3.0
42,1,11,Leave Management,Bug,Leave status appeal process needs improvement.,2023-11-24,3.0
43,1,46,Performance Review,Bug,There is a glitch in the payroll calculation.,2024-04-05,3.0
44,1,1,Performance Review,Bug,Suggestion: Add a feature to customize payroll notifications.,2023-08-27,5.0
45,1,17,Performance Review,Suggestion for improvement,Unable to start a new performance review for an employee.,2023-09-25,5.0
46,1,17,Payroll,Suggestion for improvement,Bug: Error message displayed when submitting payroll.,2024-04-06,2.0
47,1,19,Leave Management,Suggestion for improvement,The application crashes when I try to submit payroll.,2023-08-08,3.0
48,1,26,Performance Review,Suggestion for improvement,There is a glitch in the payroll calculation.,2023-12-20,5.0
49,1,45,Performance Review,Bug,Bug: Unable to appeal leave status change.,2023-08-25,3.0
50,1,33,Performance Review,Suggestion for improvement,The payroll module does not update employee details correctly.,2024-05-11,4.0
51,1,11,Performance Review,Bug,Suggestion: Allow bulk approval of leave requests.,2024-03-13,4.0
52,1,35,Payroll,Suggestion for improvement,Bug: Dates are not being saved correctly in the leave management module.,2023-11-07,2.0
53,1,14,Payroll,Bug,Leave submission page takes too long to load.,2023-06-29,2.0
54,1,13,Leave Management,Suggestion for improvement,Suggestion: Improve the load time for payroll reports.,2023-09-23,2.0
55,1,50,Performance Review,Suggestion for improvement,Unable to start a new performance review for an employee.,2023-11-29,2.0
56,1,32,Leave Management,Bug,Suggestion: Allow bulk approval of leave requests.,2024-04-29,3.0
57,1,34,Leave Management,Bug,It would be great if we could have more filtering options in the performance review module.,2023-07-09,4.0
58,1,33,Leave Management,Suggestion for improvement,Performance review module should allow adding attachments.,2023-12-14,4.0
59,1,8,Performance Review,Bug,Suggestion: Add notifications for upcoming review deadlines.,2024-02-08,2.0
60,1,18,Payroll,Suggestion for improvement,Leave status appeal process needs improvement.,2023-12-13,5.0
61,1,32,Performance Review,Suggestion for improvement,Leave management does not show accurate leave balance.,2024-03-17,5.0
62,1,26,Performance Review,Suggestion for improvement,Bug: Dates are not being saved correctly in the leave management module.,2023-12-10,5.0
63,1,39,Performance Review,Bug,Bug: Dates are not being saved correctly in the leave management module.,2024-05-10,2.0
64,1,32,Payroll,Suggestion for improvement,I encountered an error while trying to edit payroll details.,2024-01-02,3.0
65,1,15,Performance Review,Suggestion for improvement,I encountered an issue while starting a new performance review.,2023-12-27,3.0
66,1,45,Payroll,Bug,The interface for submitting leave is not user-friendly.,2023-11-06,4.0
67,1,9,Payroll,Bug,There is a glitch in the payroll calculation.,2023-12-30,5.0
68,1,15,Performance Review,Suggestion for improvement,Suggestion: Make the review submission process more intuitive.,2023-10-16,5.0
69,1,26,Payroll,Bug,Unable to start a new performance review for an employee.,2023-12-23,5.0
70,1,3,Performance Review,Bug,Bug: Dates are not being saved correctly in the leave management module.,2023-09-12,3.0
71,1,5,Leave Management,Suggestion for improvement,There is a bug in the leave management approval process.,2023-08-07,1.0
72,1,17,Payroll,Suggestion for improvement,There is a bug in the leave management approval process.,2023-08-06,5.0
73,1,26,Performance Review,Bug,The performance review module is missing some key functionalities.,2024-01-05,3.0
74,1,2,Payroll,Bug,The payroll module could use a better summary report feature.,2024-01-21,5.0
75,1,47,Payroll,Suggestion for improvement,Suggestion: Add notifications for upcoming review deadlines.,2023-11-18,4.0
76,1,44,Payroll,Bug,Performance review module should allow adding attachments.,2023-07-03,4.0
77,1,46,Performance Review,Suggestion for improvement,The interface for submitting leave is not user-friendly.,2024-02-26,3.0
78,1,46,Leave Management,Suggestion for improvement,Leave management does not show accurate leave balance.,2024-04-09,5.0
79,1,48,Performance Review,Bug,The interface for submitting leave is not user-friendly.,2024-04-25,3.0
80,1,3,Leave Management,Bug,Bug: Unable to appeal leave status change.,2024-03-27,1.0
81,1,29,Performance Review,Bug,I encountered an issue while starting a new performance review.,2024-04-16,5.0
82,1,16,Payroll,Suggestion for improvement,There is a bug in the leave management approval process.,2024-04-25,5.0
83,1,35,Leave Management,Bug,Suggestion: Improve the load time for payroll reports.,2023-12-10,5.0
84,1,24,Performance Review,Bug,Suggestion: Allow bulk approval of leave requests.,2023-10-18,4.0
85,1,32,Performance Review,Bug,Leave status appeal process needs improvement.,2024-02-07,5.0
86,1,16,Payroll,Suggestion for improvement,Suggestion: Make the review submission process more intuitive.,2023-09-07,3.0
87,1,8,Payroll,Suggestion for improvement,The performance review module is missing some key functionalities.,2024-03-16,5.0
88,1,38,Payroll,Bug,Bug: Error message displayed when submitting payroll.,2024-03-30,3.0
89,1,34,Payroll,Bug,Suggestion: Make the review submission process more intuitive.,2024-04-15,5.0
90,1,34,Payroll,Bug,Suggestion: Include a dashboard for quick performance metrics.,2023-12-28,1.0
91,1,13,Leave Management,Suggestion for improvement,Bug: Unable to appeal leave status change.,2024-05-05,1.0
92,1,16,Leave Management,Bug,The interface for submitting leave is not user-friendly.,2023-12-24,1.0
93,1,32,Payroll,Suggestion for improvement,The payroll module could use a better summary report feature.,2023-11-08,3.0
94,1,37,Leave Management,Suggestion for improvement,Leave status appeal process needs improvement.,2024-01-22,5.0
95,1,36,Leave Management,Bug,Bug: Error message displayed when submitting payroll.,2024-05-21,4.0
96,1,22,Leave Management,Bug,I found a bug when trying to delete a leave submission.,2024-04-23,1.0
97,1,50,Payroll,Bug,Leave management does not show accurate leave balance.,2024-03-10,1.0
98,1,24,Performance Review,Suggestion for improvement,Suggestion: Include a dashboard for quick performance metrics.,2023-06-30,1.0
99,1,14,Leave Management,Bug,There is a bug in the leave management approval process.,2024-01-05,3.0
100,1,5,Leave Management,Suggestion for improvement,Suggestion: Add a feature to customize payroll notifications.,2023-11-21,5.0
101,1,38,Payroll,Suggestion for improvement,Leave status appeal process needs improvement.,2024-01-11,5.0
102,1,22,Leave Management,Suggestion for improvement,Leave management does not show accurate leave balance.,2024-03-28,1.0
103,1,40,Performance Review,Bug,Performance review module should allow adding attachments.,2023-08-26,3.0
104,1,31,Performance Review,Suggestion for improvement,Suggestion: Include a dashboard for quick performance metrics.,2024-02-17,5.0
105,1,16,Performance Review,Suggestion for improvement,Performance review module should allow adding attachments.,2023-07-12,4.0
106,1,32,Payroll,Suggestion for improvement,I encountered an issue while starting a new performance review.,2023-08-18,4.0
107,1,30,Leave Management,Bug,Performance review module should allow adding attachments.,2024-03-10,3.0
108,1,17,Payroll,Bug,Leave status appeal process needs improvement.,2023-09-27,4.0
109,1,34,Leave Management,Bug,There is a glitch in the payroll calculation.,2024-03-18,3.0
110,1,40,Performance Review,Bug,I encountered an error while trying to edit payroll details.,2023-07-06,1.0
111,1,15,Leave Management,Bug,Bug: Dates are not being saved correctly in the leave management module.,2023-07-23,5.0
112,1,40,Performance Review,Bug,The application crashes when I try to submit payroll.,2024-02-05,5.0
113,1,26,Leave Management,Suggestion for improvement,Leave status appeal process needs improvement.,2023-06-17,3.0
114,1,25,Leave Management,Suggestion for improvement,There is a bug in the leave management approval process.,2023-12-22,3.0
115,1,26,Leave Management,Suggestion for improvement,Suggestion: Provide more detailed error messages.,2024-04-20,5.0
116,1,41,Payroll,Bug,I found a bug when trying to delete a leave submission.,2023-12-08,1.0
117,1,47,Payroll,Suggestion for improvement,The application crashes when I try to submit payroll.,2024-01-29,3.0
118,1,22,Performance Review,Bug,Suggestion: Improve the search functionality in performance reviews.,2023-06-10,4.0
119,1,10,Leave Management,Suggestion for improvement,Suggestion: Include an option to export payroll data as CSV.,2024-01-13,5.0
120,1,20,Payroll,Bug,Suggestion: Provide more detailed error messages.,2024-01-03,3.0
121,1,37,Leave Management,Suggestion for improvement,There is a bug in the leave management approval process.,2023-12-23,2.0
122,1,10,Payroll,Suggestion for improvement,Bug: Dates are not being saved correctly in the leave management module.,2023-10-18,3.0
123,1,32,Performance Review,Suggestion for improvement,I encountered an issue while starting a new performance review.,2023-10-11,3.0
124,1,18,Leave Management,Bug,Suggestion: Allow bulk approval of leave requests.,2024-05-16,2.0
125,1,29,Payroll,Suggestion for improvement,Suggestion: Provide more detailed error messages.,2023-06-13,3.0
126,1,50,Payroll,Bug,The application crashes when I try to submit payroll.,2023-06-08,3.0
127,1,9,Payroll,Bug,Leave submission page takes too long to load.,2024-05-09,4.0
128,1,36,Performance Review,Suggestion for improvement,Suggestion: Add a feature to customize payroll notifications.,2023-08-06,2.0
129,1,48,Leave Management,Suggestion for improvement,The payroll module does not update employee details correctly.,2023-07-15,1.0
130,1,4,Leave Management,Suggestion for improvement,The payroll module does not update employee details correctly.,2023-08-15,3.0
131,1,37,Performance Review,Bug,The payroll module does not update employee details correctly.,2024-03-12,1.0
132,1,39,Payroll,Suggestion for improvement,Bug: Dates are not being saved correctly in the leave management module.,2024-04-30,3.0
133,1,47,Payroll,Suggestion for improvement,Leave submission page takes too long to load.,2023-06-09,4.0
134,1,7,Leave Management,Suggestion for improvement,The interface for submitting leave is not user-friendly.,2023-10-30,2.0
135,1,39,Payroll,Suggestion for improvement,Suggestion: Improve the search functionality in performance reviews.,2023-07-07,3.0
136,1,13,Leave Management,Bug,Suggestion: Improve the search functionality in performance reviews.,2023-09-01,3.0
137,1,41,Payroll,Suggestion for improvement,Suggestion: Provide more detailed error messages.,2023-08-18,3.0
138,1,40,Performance Review,Bug,Suggestion: Include a dashboard for quick performance metrics.,2024-01-17,4.0
139,1,42,Performance Review,Bug,Leave submission page takes too long to load.,2023-10-04,1.0
140,1,43,Payroll,Bug,It would be great if we could have more filtering options in the performance review module.,2023-08-04,3.0
141,1,35,Payroll,Bug,Suggestion: Provide more detailed error messages.,2023-11-27,3.0
142,1,25,Performance Review,Suggestion for improvement,Suggestion: Add notifications for upcoming review deadlines.,2023-06-15,5.0
143,1,27,Performance Review,Bug,Performance review module should allow adding attachments.,2023-07-07,5.0
144,1,34,Performance Review,Suggestion for improvement,Suggestion: Allow bulk approval of leave requests.,2024-05-18,1.0
145,1,5,Payroll,Bug,Suggestion: Add a feature to customize payroll notifications.,2023-08-11,5.0
146,1,40,Performance Review,Suggestion for improvement,Suggestion: Improve the search functionality in performance reviews.,2023-10-07,3.0
147,1,27,Performance Review,Suggestion for improvement,Leave management does not show accurate leave balance.,2024-02-17,2.0
148,1,4,Payroll,Bug,I found a bug when trying to delete a leave submission.,2024-03-26,3.0
149,1,24,Payroll,Bug,The performance review module is missing some key functionalities.,2024-04-23,4.0
150,1,10,Payroll,Suggestion for improvement,Leave management approval workflow is confusing.,2023-07-31,1.0
151,1,30,Leave Management,Bug,Unable to start a new performance review for an employee.,2024-01-27,3.0
152,1,44,Leave Management,Suggestion for improvement,The payroll module does not update employee details correctly.,2024-05-11,2.0
153,1,47,Leave Management,Suggestion for improvement,Performance review module should allow adding attachments.,2023-06-21,2.0
154,1,41,Performance Review,Bug,Suggestion: Add notifications for upcoming review deadlines.,2024-01-28,3.0
155,1,33,Performance Review,Bug,Suggestion: Improve the load time for payroll reports.,2024-03-28,1.0
156,1,27,Payroll,Bug,There is a glitch in the payroll calculation.,2023-10-01,5.0
157,1,49,Payroll,Bug,It would be great if we could have more filtering options in the performance review module.,2023-08-29,1.0
158,1,38,Performance Review,Bug,The payroll module does not update employee details correctly.,2023-12-31,3.0
159,1,21,Performance Review,Suggestion for improvement,Leave submission page takes too long to load.,2023-11-05,5.0
160,1,16,Payroll,Bug,Leave status appeal process needs improvement.,2023-08-02,2.0
161,1,7,Performance Review,Bug,I found a bug when trying to delete a leave submission.,2023-11-16,2.0
162,1,47,Payroll,Suggestion for improvement,Suggestion: Provide more detailed error messages.,2023-10-25,1.0
163,1,41,Performance Review,Suggestion for improvement,The performance review module is missing some key functionalities.,2023-12-21,4.0
164,1,31,Payroll,Suggestion for improvement,Suggestion: Provide more detailed error messages.,2023-11-29,1.0
165,1,41,Leave Management,Bug,Bug: Error message displayed when submitting payroll.,2023-09-20,3.0
166,1,50,Leave Management,Suggestion for improvement,Suggestion: Make the review submission process more intuitive.,2023-10-06,3.0
167,1,40,Performance Review,Bug,The payroll module could use a better summary report feature.,2024-03-26,3.0
168,1,2,Performance Review,Suggestion for improvement,I encountered an issue while starting a new performance review.,2023-08-29,2.0
169,1,14,Leave Management,Bug,Leave status appeal process needs improvement.,2023-12-18,1.0
170,1,34,Leave Management,Bug,The payroll module could use a better summary report feature.,2023-06-05,3.0
171,1,19,Performance Review,Suggestion for improvement,Suggestion: Include a dashboard for quick performance metrics.,2024-02-20,5.0
172,1,40,Payroll,Suggestion for improvement,Suggestion: Add a feature to customize payroll notifications.,2023-09-28,2.0
173,1,50,Performance Review,Bug,There is a bug in the leave management approval process.,2023-06-17,1.0
174,1,41,Leave Management,Bug,Bug: Error message displayed when submitting payroll.,2023-09-09,3.0
175,1,14,Payroll,Suggestion for improvement,I found a bug when trying to delete a leave submission.,2023-08-25,3.0
176,1,43,Leave Management,Suggestion for improvement,I found a bug when trying to delete a leave submission.,2024-05-06,3.0
177,1,44,Payroll,Bug,Suggestion: Make the review submission process more intuitive.,2023-10-04,3.0
178,1,43,Payroll,Suggestion for improvement,The application crashes when I try to submit payroll.,2023-09-11,4.0
179,1,36,Leave Management,Bug,The payroll module does not update employee details correctly.,2023-10-07,4.0
180,1,42,Payroll,Suggestion for improvement,Bug: Dates are not being saved correctly in the leave management module.,2024-05-04,3.0
181,1,23,Payroll,Suggestion for improvement,There is a bug in the leave management approval process.,2024-01-13,4.0
182,1,15,Performance Review,Suggestion for improvement,I found a bug when trying to delete a leave submission.,2024-01-08,5.0
183,1,18,Performance Review,Bug,Suggestion: Provide more detailed error messages.,2024-02-11,3.0
184,1,17,Performance Review,Bug,Leave management approval workflow is confusing.,2023-10-17,5.0
185,1,25,Leave Management,Bug,Unable to start a new performance review for an employee.,2023-10-26,3.0
186,1,23,Leave Management,Suggestion for improvement,The system logs me out unexpectedly while working on performance reviews.,2024-01-19,4.0
187,1,25,Leave Management,Bug,Bug: Dates are not being saved correctly in the leave management module.,2023-06-01,5.0
188,1,7,Performance Review,Suggestion for improvement,The interface for submitting leave is not user-friendly.,2023-08-08,3.0
189,1,15,Performance Review,Bug,Suggestion: Add a feature to customize payroll notifications.,2023-09-28,4.0
190,1,4,Performance Review,Suggestion for improvement,The interface for submitting leave is not user-friendly.,2023-08-25,1.0
191,1,32,Leave Management,Bug,Bug: Dates are not being saved correctly in the leave management module.,2024-01-14,5.0
192,1,2,Performance Review,Bug,There is a glitch in the payroll calculation.,2023-10-14,2.0
193,1,14,Payroll,Bug,Suggestion: Include an option to export payroll data as CSV.,2024-04-08,2.0
194,1,35,Payroll,Bug,I encountered an error while trying to edit payroll details.,2023-12-20,1.0
195,1,8,Performance Review,Bug,Suggestion: Include an option to export payroll data as CSV.,2023-10-26,2.0
196,1,40,Leave Management,Suggestion for improvement,Suggestion: Make the review submission process more intuitive.,2023-10-22,1.0
197,1,4,Performance Review,Suggestion for improvement,I encountered an issue while starting a new performance review.,2024-02-06,3.0
198,1,46,Performance Review,Bug,Bug: Dates are not being saved correctly in the leave management module.,2023-10-28,2.0
199,1,38,Performance Review,Bug,Suggestion: Add a feature to customize payroll notifications.,2024-01-23,5.0
200,1,10,Performance Review,Suggestion for improvement,Bug: Error message displayed when submitting payroll.,2023-06-17,5.0
201,1,43,Leave Management,Bug,Leave management does not show accurate leave balance.,2023-11-06,3.0
202,1,7,Leave Management,Bug,The payroll module could use a better summary report feature.,2023-09-01,2.0
203,1,28,Performance Review,Suggestion for improvement,There is a bug in the leave management approval process.,2023-07-27,2.0
204,1,49,Payroll,Bug,Suggestion: Improve the search functionality in performance reviews.,2023-12-06,2.0
205,1,44,Performance Review,Suggestion for improvement,Leave management approval workflow is confusing.,2023-11-21,4.0
206,1,4,Leave Management,Suggestion for improvement,Suggestion: Improve the search functionality in performance reviews.,2023-12-18,3.0
207,1,23,Performance Review,Suggestion for improvement,It would be great if we could have more filtering options in the performance review module.,2024-02-25,4.0
208,1,1,Payroll,Suggestion for improvement,Leave management approval workflow is confusing.,2024-04-11,3.0
209,1,18,Payroll,Bug,There is a glitch in the payroll calculation.,2023-11-24,1.0
210,1,38,Payroll,Suggestion for improvement,The payroll module does not update employee details correctly.,2023-09-20,2.0
211,1,40,Performance Review,Bug,The performance review module is missing some key functionalities.,2023-11-14,2.0
212,1,47,Leave Management,Suggestion for improvement,Leave management approval workflow is confusing.,2024-03-15,3.0
213,1,10,Payroll,Bug,Suggestion: Add a feature to customize payroll notifications.,2024-04-08,5.0
214,1,40,Payroll,Suggestion for improvement,I encountered an error while trying to edit payroll details.,2024-03-17,4.0
215,1,41,Performance Review,Bug,Bug: Error message displayed when submitting payroll.,2023-08-07,1.0
216,1,24,Payroll,Suggestion for improvement,It would be great if we could have more filtering options in the performance review module.,2024-05-22,4.0
217,1,13,Leave Management,Suggestion for improvement,The application crashes when I try to submit payroll.,2024-01-13,3.0
218,1,1,Leave Management,Bug,Suggestion: Provide more detailed error messages.,2023-06-30,1.0
219,1,23,Leave Management,Bug,Suggestion: Include an option to export payroll data as CSV.,2024-02-15,3.0
220,1,26,Leave Management,Bug,Suggestion: Add a feature to customize payroll notifications.,2024-05-18,3.0
221,1,5,Leave Management,Bug,Suggestion: Add notifications for upcoming review deadlines.,2023-10-22,5.0
222,1,3,Leave Management,Suggestion for improvement,The payroll module could use a better summary report feature.,2024-01-29,4.0
223,1,30,Payroll,Suggestion for improvement,I encountered an error while trying to edit payroll details.,2023-09-21,4.0
224,1,25,Payroll,Suggestion for improvement,Suggestion: Improve the load time for payroll reports.,2023-08-16,4.0
225,1,37,Performance Review,Bug,Performance review module should allow adding attachments.,2024-02-12,2.0
226,1,27,Leave Management,Bug,There is a glitch in the payroll calculation.,2023-06-01,3.0
227,1,33,Leave Management,Suggestion for improvement,I found a bug when trying to delete a leave submission.,2024-03-20,3.0
228,1,44,Payroll,Suggestion for improvement,Suggestion: Include a dashboard for quick performance metrics.,2023-12-06,4.0
229,1,37,Payroll,Bug,There is a bug in the leave management approval process.,2023-07-05,3.0
230,1,2,Payroll,Suggestion for improvement,Leave management does not show accurate leave balance.,2023-07-13,5.0
231,1,16,Payroll,Bug,It would be great if we could have more filtering options in the performance review module.,2024-01-18,4.0
232,1,39,Performance Review,Bug,Bug: Unable to appeal leave status change.,2024-04-07,2.0
233,1,41,Leave Management,Suggestion for improvement,Suggestion: Improve the search functionality in performance reviews.,2023-09-08,3.0
234,1,38,Performance Review,Suggestion for improvement,Bug: Unable to appeal leave status change.,2024-05-15,3.0
235,1,8,Leave Management,Bug,The payroll module does not update employee details correctly.,2023-07-06,4.0
236,1,12,Payroll,Bug,I encountered an issue while starting a new performance review.,2024-03-31,3.0
237,1,49,Leave Management,Suggestion for improvement,Suggestion: Provide more detailed error messages.,2023-10-20,3.0
238,1,43,Performance Review,Suggestion for improvement,I encountered an issue while starting a new performance review.,2023-06-30,3.0
239,1,43,Payroll,Bug,There is a glitch in the payroll calculation.,2023-09-07,1.0
240,1,24,Performance Review,Bug,The payroll module could use a better summary report feature.,2023-11-09,3.0
241,1,5,Payroll,Bug,Unable to start a new performance review for an employee.,2024-03-09,3.0
242,1,43,Performance Review,Suggestion for improvement,Leave management approval workflow is confusing.,2024-04-03,1.0
243,1,44,Performance Review,Suggestion for improvement,Leave status appeal process needs improvement.,2023-07-18,4.0
244,1,31,Leave Management,Bug,I encountered an issue while starting a new performance review.,2023-12-03,3.0
245,1,30,Payroll,Suggestion for improvement,Bug: Dates are not being saved correctly in the leave management module.,2024-01-19,3.0
246,1,27,Leave Management,Bug,Suggestion: Allow bulk approval of leave requests.,2023-10-02,1.0
247,1,43,Performance Review,Suggestion for improvement,The system logs me out unexpectedly while working on performance reviews.,2024-04-07,1.0
248,1,2,Leave Management,Bug,Leave management does not show accurate leave balance.,2023-09-08,1.0
249,1,44,Leave Management,Suggestion for improvement,The performance review module is missing some key functionalities.,2023-06-07,4.0
250,1,12,Leave Management,Bug,The interface for submitting leave is not user-friendly.,2023-06-15,4.0
251,1,12,Payroll,Suggestion for improvement,Unable to start a new performance review for an employee.,2024-01-30,3.0
252,1,35,Performance Review,Suggestion for improvement,The payroll module does not update employee details correctly.,2023-12-17,2.0
253,1,7,Leave Management,Suggestion for improvement,Suggestion: Include a dashboard for quick performance metrics.,2024-05-03,5.0
254,1,44,Leave Management,Bug,Suggestion: Provide more detailed error messages.,2024-05-01,3.0
255,1,4,Performance Review,Bug,The payroll module could use a better summary report feature.,2024-04-20,1.0
256,1,31,Performance Review,Bug,Suggestion: Improve the search functionality in performance reviews.,2023-06-15,3.0
257,1,37,Payroll,Suggestion for improvement,Suggestion: Make the review submission process more intuitive.,2024-02-23,3.0
258,1,10,Payroll,Suggestion for improvement,Suggestion: Improve the load time for payroll reports.,2024-02-06,4.0
259,1,15,Performance Review,Suggestion for improvement,The performance review module is missing some key functionalities.,2024-01-20,5.0
260,1,25,Performance Review,Bug,Leave submission page takes too long to load.,2024-02-10,3.0
261,1,41,Performance Review,Bug,There is a glitch in the payroll calculation.,2024-04-18,5.0
262,1,29,Leave Management,Bug,Bug: Error message displayed when submitting payroll.,2024-01-15,3.0
263,1,49,Performance Review,Suggestion for improvement,There is a glitch in the payroll calculation.,2023-10-11,1.0
264,1,35,Leave Management,Suggestion for improvement,The application crashes when I try to submit payroll.,2023-12-10,5.0
265,1,4,Payroll,Bug,The performance review module is missing some key functionalities.,2023-08-14,3.0
266,1,32,Performance Review,Suggestion for improvement,The payroll module does not update employee details correctly.,2023-12-27,3.0
267,1,10,Performance Review,Suggestion for improvement,Bug: Dates are not being saved correctly in the leave management module.,2023-06-04,3.0
268,1,39,Payroll,Bug,Leave status appeal process needs improvement.,2023-07-24,1.0
269,1,26,Payroll,Suggestion for improvement,Leave submission page takes too long to load.,2023-09-28,3.0
270,1,22,Payroll,Suggestion for improvement,The application crashes when I try to submit payroll.,2024-03-08,2.0
271,1,3,Payroll,Bug,The payroll module does not update employee details correctly.,2024-02-12,5.0
272,1,21,Leave Management,Bug,The application crashes when I try to submit payroll.,2023-09-29,5.0
273,1,36,Leave Management,Suggestion for improvement,Leave submission page takes too long to load.,2024-01-08,3.0
274,1,7,Performance Review,Bug,Suggestion: Allow bulk approval of leave requests.,2023-06-15,1.0
275,1,24,Performance Review,Bug,It would be great if we could have more filtering options in the performance review module.,2023-07-29,4.0
276,1,37,Performance Review,Bug,I encountered an issue while starting a new performance review.,2024-05-16,3.0
277,1,35,Leave Management,Bug,I encountered an error while trying to edit payroll details.,2023-09-12,3.0
278,1,20,Performance Review,Bug,Suggestion: Make the review submission process more intuitive.,2023-10-19,1.0
279,1,31,Leave Management,Suggestion for improvement,Suggestion: Improve the load time for payroll reports.,2023-12-13,3.0
280,1,46,Payroll,Bug,Unable to start a new performance review for an employee.,2023-09-13,4.0
281,1,18,Performance Review,Suggestion for improvement,The payroll module could use a better summary report feature.,2023-11-18,3.0
282,1,27,Performance Review,Bug,Leave status appeal process needs improvement.,2023-08-25,3.0
283,1,36,Performance Review,Bug,Bug: Error message displayed when submitting payroll.,2023-06-18,4.0
284,1,40,Performance Review,Bug,It would be great if we could have more filtering options in the performance review module.,2023-08-04,1.0
285,1,41,Leave Management,Bug,The application crashes when I try to submit payroll.,2023-12-04,3.0
286,1,7,Payroll,Suggestion for improvement,Bug: Error message displayed when submitting payroll.,2023-06-26,3.0
287,1,17,Performance Review,Suggestion for improvement,Suggestion: Add a feature to customize payroll notifications.,2023-10-22,5.0
288,1,15,Leave Management,Suggestion for improvement,The payroll module could use a better summary report feature.,2023-09-26,4.0
289,1,24,Performance Review,Suggestion for improvement,Suggestion: Include an option to export payroll data as CSV.,2023-10-27,3.0
290,1,23,Leave Management,Bug,The interface for submitting leave is not user-friendly.,2023-07-06,3.0
291,1,3,Leave Management,Suggestion for improvement,The payroll module does not update employee details correctly.,2024-04-20,5.0
