PayrollID,EmployeeID,PayPeriodStart,PayPeriodEnd,GrossSalary,Deductions,NetSalary,PaymentDate
54,54,2023-06-26,2023-07-26,5064.21,327.34,4736.87,2023-07-31
55,55,2023-09-21,2023-10-21,4467.45,288.1,4179.349999999999,2023-10-26
56,56,2023-12-21,2024-01-20,5359.63,499.25,4860.38,2024-01-25
57,57,2024-02-24,2024-03-25,4610.02,470.18,4139.84,2024-03-30
58,58,2024-02-22,2024-03-23,6463.21,424.88,6038.33,2024-03-28
59,59,2023-07-11,2023-08-10,4610.27,423.26,4187.01,2023-08-15
60,60,2023-10-04,2023-11-03,5982.17,390.03,5592.14,2023-11-08
61,61,2024-04-15,2024-05-15,6569.42,466.95,6102.47,2024-05-20
62,62,2024-05-08,2024-06-07,4443.44,455.77,3987.6699999999996,2024-06-12
63,63,2023-08-24,2023-09-23,3437.33,340.45,3096.88,2023-09-28
64,64,2024-01-17,2024-02-16,5831.59,309.69,5521.900000000001,2024-02-21
65,65,2023-11-12,2023-12-12,5872.81,281.62,5591.1900000000005,2023-12-17
66,66,2023-07-11,2023-08-10,4585.71,219.59,4366.12,2023-08-15
67,67,2024-01-14,2024-02-13,5743.88,229.07,5514.81,2024-02-18
68,68,2024-04-21,2024-05-21,5383.69,273.9,5109.79,2024-05-26
69,69,2023-06-18,2023-07-18,3425.27,281.85,3143.42,2023-07-23
70,70,2024-02-07,2024-03-08,5371.78,413.52,4958.26,2024-03-13
71,71,2023-05-23,2023-06-22,5643.75,464.03,5179.72,2023-06-27
72,72,2023-11-03,2023-12-03,3459.86,258.87,3200.9900000000002,2023-12-08
73,73,2023-05-24,2023-06-23,5228.29,222.11,5006.18,2023-06-28
74,74,2024-04-15,2024-05-15,5560.9,335.47,5225.429999999999,2024-05-20
75,75,2023-09-01,2023-10-01,4254.16,499.25,3754.91,2023-10-06
76,76,2024-03-16,2024-04-15,3700.08,477.45,3222.63,2024-04-20
77,77,2023-07-19,2023-08-18,4052.26,489.9,3562.36,2023-08-23
78,78,2023-09-09,2023-10-09,3475.94,480.92,2995.02,2023-10-14
79,79,2023-09-10,2023-10-10,4202.67,496.79,3705.88,2023-10-15
80,80,2023-08-20,2023-09-19,4776.38,485.19,4291.1900000000005,2023-09-24
81,81,2024-01-29,2024-02-28,3387.3,283.08,3104.2200000000003,2024-03-04
82,82,2023-06-25,2023-07-25,5932.86,337.81,5595.049999999999,2023-07-30
83,83,2023-12-08,2024-01-07,5458.9,481.2,4977.7,2024-01-12
84,84,2023-08-14,2023-09-13,4040.93,431.98,3608.95,2023-09-18
85,85,2023-08-09,2023-09-08,3715.7,325.06,3390.64,2023-09-13
86,86,2023-07-29,2023-08-28,3984.11,339.13,3644.98,2023-09-02
87,87,2023-08-19,2023-09-18,4560.02,398.96,4161.06,2023-09-23
88,88,2023-12-18,2024-01-17,3525.63,476.74,3048.8900000000003,2024-01-22
89,89,2023-09-26,2023-10-26,5201.8,314.51,4887.29,2023-10-31
90,90,2024-04-20,2024-05-20,6158.81,493.51,5665.3,2024-05-25
91,91,2023-11-07,2023-12-07,4057.02,283.38,3773.64,2023-12-12
92,92,2024-04-16,2024-05-16,6431.53,453.73,5977.799999999999,2024-05-21
93,93,2023-09-26,2023-10-26,6900.1,357.21,6542.89,2023-10-31
94,94,2023-12-23,2024-01-22,4785.19,268.99,4516.2,2024-01-27
95,95,2024-02-23,2024-03-24,6532.95,326.44,6206.51,2024-03-29
96,96,2023-12-02,2024-01-01,3129.01,203.68,2925.3300000000004,2024-01-06
97,97,2024-02-24,2024-03-25,4068.63,429.43,3639.2000000000003,2024-03-30
98,98,2024-01-14,2024-02-13,3195.54,424.23,2771.31,2024-02-18
99,99,2023-09-19,2023-10-19,3495.45,268.62,3226.83,2023-10-24
100,100,2024-03-01,2024-03-31,5719.33,376.93,5342.4,2024-04-05
101,101,2023-06-28,2023-07-28,6024.36,430.89,5593.469999999999,2023-08-02
102,102,2024-03-02,2024-04-01,6050.15,210.0,5840.15,2024-04-06
103,103,2023-12-05,2024-01-04,3245.74,277.29,2968.45,2024-01-09
104,104,2024-02-08,2024-03-09,3554.32,307.63,3246.69,2024-03-14
105,105,2023-06-29,2023-07-29,3029.52,370.59,2658.93,2023-08-03
106,106,2023-10-30,2023-11-29,4423.36,335.93,4087.43,2023-12-04
107,107,2023-08-30,2023-09-29,3052.71,397.31,2655.4,2023-10-04
108,108,2024-02-15,2024-03-16,6802.41,237.38,6565.03,2024-03-21
109,109,2023-09-05,2023-10-05,6855.23,234.8,6620.429999999999,2023-10-10
110,110,2023-12-21,2024-01-20,4420.37,432.47,3987.8999999999996,2024-01-25
111,111,2024-02-27,2024-03-28,5973.44,310.55,5662.889999999999,2024-04-02
112,112,2023-10-01,2023-10-31,3914.82,367.46,3547.36,2023-11-05
113,113,2024-02-03,2024-03-04,3228.98,478.34,2750.64,2024-03-09
114,114,2024-02-12,2024-03-13,4912.18,330.74,4581.4400000000005,2024-03-18
115,115,2024-03-25,2024-04-24,3571.83,236.57,3335.2599999999998,2024-04-29
116,116,2023-06-28,2023-07-28,3958.05,392.73,3565.32,2023-08-02
117,117,2023-11-16,2023-12-16,3486.87,483.88,3002.99,2023-12-21
118,118,2023-06-06,2023-07-06,5185.17,220.29,4964.88,2023-07-11
119,119,2024-05-03,2024-06-02,3776.61,458.84,3317.77,2024-06-07
120,120,2023-12-07,2024-01-06,4222.82,234.08,3988.74,2024-01-11
121,121,2024-01-23,2024-02-22,5015.21,364.78,4650.43,2024-02-27
122,122,2023-08-09,2023-09-08,3626.11,380.56,3245.55,2023-09-13
123,123,2023-09-16,2023-10-16,6616.59,492.3,6124.29,2023-10-21
124,124,2024-05-20,2024-06-19,5038.28,444.35,4593.929999999999,2024-06-24
125,125,2023-07-17,2023-08-16,4085.8,229.88,3855.92,2023-08-21
126,126,2024-05-10,2024-06-09,5995.69,419.78,5575.91,2024-06-14
127,127,2023-12-07,2024-01-06,6617.77,302.76,6315.01,2024-01-11
128,128,2023-06-13,2023-07-13,3634.63,315.46,3319.17,2023-07-18
129,129,2023-08-10,2023-09-09,4246.85,344.79,3902.0600000000004,2023-09-14
130,130,2023-08-13,2023-09-12,4894.91,344.22,4550.69,2023-09-17
131,131,2023-12-13,2024-01-12,5613.08,356.81,5256.2699999999995,2024-01-17
132,132,2023-06-14,2023-07-14,5167.98,441.1,4726.879999999999,2023-07-19
133,133,2023-08-29,2023-09-28,6753.38,445.98,6307.4,2023-10-03
134,134,2024-04-02,2024-05-02,3970.82,349.23,3621.59,2024-05-07
135,135,2023-12-18,2024-01-17,3237.66,372.79,2864.87,2024-01-22
136,136,2023-10-11,2023-11-10,6492.72,482.81,6009.91,2023-11-15
137,137,2023-11-02,2023-12-02,6023.56,366.1,5657.46,2023-12-07
138,138,2023-11-15,2023-12-15,5577.09,370.95,5206.14,2023-12-20
139,139,2023-06-01,2023-07-01,4248.98,254.04,3994.9399999999996,2023-07-06
140,140,2024-03-25,2024-04-24,6440.51,302.36,6138.150000000001,2024-04-29
141,141,2024-03-05,2024-04-04,4550.71,231.76,4318.95,2024-04-09
142,142,2024-02-10,2024-03-11,5678.28,345.6,5332.679999999999,2024-03-16
143,143,2023-12-23,2024-01-22,5646.67,479.6,5167.07,2024-01-27
144,144,2023-12-25,2024-01-24,3897.81,255.17,3642.64,2024-01-29
145,145,2023-10-04,2023-11-03,6835.14,475.24,6359.900000000001,2023-11-08
146,146,2023-10-22,2023-11-21,6129.72,462.26,5667.46,2023-11-26
147,147,2024-03-20,2024-04-19,4893.39,498.71,4394.68,2024-04-24
148,148,2023-07-26,2023-08-25,4168.33,265.6,3902.73,2023-08-30
149,149,2024-02-14,2024-03-15,5777.23,310.27,5466.959999999999,2024-03-20
150,150,2023-07-25,2023-08-24,6687.2,238.68,6448.5199999999995,2023-08-29
151,151,2024-01-15,2024-02-14,4628.32,300.05,4328.2699999999995,2024-02-19
152,152,2023-06-22,2023-07-22,3124.46,377.3,2747.16,2023-07-27
153,153,2023-05-26,2023-06-25,4972.9,359.79,4613.11,2023-06-30
154,154,2024-04-03,2024-05-03,4399.0,467.24,3931.76,2024-05-08
155,155,2024-01-29,2024-02-28,3052.93,465.23,2587.7,2024-03-04
156,156,2023-11-17,2023-12-17,5512.63,392.48,5120.15,2023-12-22
157,157,2024-03-21,2024-04-20,3958.17,432.38,3525.79,2024-04-25
158,158,2024-04-25,2024-05-25,5161.76,425.46,4736.3,2024-05-30
159,159,2023-06-15,2023-07-15,6485.48,421.15,6064.33,2023-07-20
160,160,2023-12-31,2024-01-30,3406.67,251.35,3155.32,2024-02-04
161,161,2023-08-25,2023-09-24,5152.16,318.22,4833.94,2023-09-29
162,162,2023-12-29,2024-01-28,4585.82,377.21,4208.61,2024-02-02
163,163,2023-07-30,2023-08-29,5603.96,280.42,5323.54,2023-09-03
164,164,2024-02-07,2024-03-08,5512.0,480.9,5031.1,2024-03-13
165,165,2024-05-05,2024-06-04,3553.0,328.02,3224.98,2024-06-09
166,166,2023-11-09,2023-12-09,6756.67,487.86,6268.81,2023-12-14
167,167,2024-01-22,2024-02-21,3939.24,358.98,3580.2599999999998,2024-02-26
168,168,2024-04-09,2024-05-09,4667.52,280.63,4386.89,2024-05-14
169,169,2024-05-01,2024-05-31,3815.91,444.95,3370.96,2024-06-05
170,170,2023-12-13,2024-01-12,5895.64,348.74,5546.900000000001,2024-01-17
171,171,2023-07-20,2023-08-19,6698.59,463.57,6235.02,2023-08-24
172,172,2024-01-12,2024-02-11,5802.17,422.63,5379.54,2024-02-16
173,173,2023-06-28,2023-07-28,4547.43,213.51,4333.92,2023-08-02
174,174,2024-05-18,2024-06-17,3260.33,343.95,2916.38,2024-06-22
175,175,2024-03-20,2024-04-19,3049.32,366.88,2682.44,2024-04-24
176,176,2024-04-13,2024-05-13,3775.52,385.53,3389.99,2024-05-18
177,177,2023-10-01,2023-10-31,6929.26,296.73,6632.530000000001,2023-11-05
178,178,2023-12-09,2024-01-08,4494.95,304.4,4190.55,2024-01-13
179,179,2024-04-29,2024-05-29,5131.87,365.66,4766.21,2024-06-03
180,180,2024-04-12,2024-05-12,6048.19,211.18,5837.009999999999,2024-05-17
181,181,2024-03-21,2024-04-20,3814.4,489.87,3324.53,2024-04-25
182,182,2023-07-31,2023-08-30,5128.98,411.47,4717.509999999999,2023-09-04
183,183,2024-04-16,2024-05-16,5876.1,372.9,5503.200000000001,2024-05-21
184,184,2024-03-03,2024-04-02,3136.0,249.79,2886.21,2024-04-07
185,185,2023-08-06,2023-09-05,6364.04,247.22,6116.82,2023-09-10
186,186,2023-05-25,2023-06-24,3750.83,330.44,3420.39,2023-06-29
187,187,2023-07-27,2023-08-26,3713.43,397.69,3315.74,2023-08-31
188,188,2024-01-20,2024-02-19,4440.88,467.78,3973.1000000000004,2024-02-24
189,189,2023-10-23,2023-11-22,5946.63,328.35,5618.28,2023-11-27
190,190,2024-02-17,2024-03-18,6105.65,295.12,5810.53,2024-03-23
191,191,2023-12-10,2024-01-09,6934.82,322.77,6612.049999999999,2024-01-14
192,192,2024-01-14,2024-02-13,4499.21,499.26,3999.95,2024-02-18
193,193,2023-12-06,2024-01-05,5037.44,368.95,4668.49,2024-01-10
194,194,2024-01-31,2024-03-01,3615.28,274.05,3341.23,2024-03-06
195,195,2023-09-25,2023-10-25,4518.35,265.13,4253.22,2023-10-30
196,196,2024-03-21,2024-04-20,6730.61,412.22,6318.389999999999,2024-04-25
197,197,2023-05-23,2023-06-22,3592.32,468.83,3123.4900000000002,2023-06-27
198,198,2023-09-02,2023-10-02,4832.01,454.19,4377.820000000001,2023-10-07
199,199,2024-04-22,2024-05-22,6563.92,473.3,6090.62,2024-05-27
200,200,2023-10-29,2023-11-28,5899.5,373.98,5525.52,2023-12-03
201,201,2024-05-14,2024-06-13,4142.0,222.5,3919.5,2024-06-18
202,202,2023-06-06,2023-07-06,6812.62,400.14,6412.48,2023-07-11
203,203,2023-08-12,2023-09-11,6442.73,248.5,6194.23,2023-09-16
204,204,2023-08-08,2023-09-07,5683.38,439.65,5243.7300000000005,2023-09-12
205,205,2023-11-03,2023-12-03,3326.36,448.79,2877.57,2023-12-08
206,206,2024-04-30,2024-05-30,5386.28,354.91,5031.37,2024-06-04
207,207,2023-08-21,2023-09-20,3033.86,394.03,2639.83,2023-09-25
208,208,2023-10-22,2023-11-21,6133.62,273.2,5860.42,2023-11-26
209,209,2023-12-08,2024-01-07,6005.45,370.09,5635.36,2024-01-12
210,210,2024-04-25,2024-05-25,5307.6,446.71,4860.89,2024-05-30
211,211,2024-01-12,2024-02-11,5440.31,443.78,4996.530000000001,2024-02-16
212,212,2024-05-03,2024-06-02,5598.27,260.87,5337.400000000001,2024-06-07
213,213,2023-10-10,2023-11-09,4207.49,344.39,3863.1,2023-11-14
214,214,2024-01-14,2024-02-13,6386.09,498.38,5887.71,2024-02-18
215,215,2024-02-25,2024-03-26,3215.33,341.13,2874.2,2024-03-31
216,216,2023-06-27,2023-07-27,4237.84,399.9,3837.94,2023-08-01
217,217,2023-11-17,2023-12-17,5480.9,353.82,5127.08,2023-12-22
218,218,2023-12-16,2024-01-15,3508.53,311.08,3197.4500000000003,2024-01-20
219,219,2023-11-11,2023-12-11,5960.86,479.42,5481.44,2023-12-16
220,220,2023-05-26,2023-06-25,6294.39,279.67,6014.72,2023-06-30
221,221,2023-06-25,2023-07-25,4478.89,221.68,4257.21,2023-07-30
222,222,2024-02-27,2024-03-28,4061.17,203.88,3857.29,2024-04-02
223,223,2023-05-23,2023-06-22,5257.53,463.53,4794.0,2023-06-27
224,224,2023-06-11,2023-07-11,5293.85,266.58,5027.27,2023-07-16
225,225,2023-10-26,2023-11-25,3528.12,480.67,3047.45,2023-11-30
226,226,2024-03-25,2024-04-24,5182.45,219.05,4963.4,2024-04-29
227,227,2024-04-09,2024-05-09,5941.11,451.38,5489.73,2024-05-14
228,228,2024-01-08,2024-02-07,5024.35,201.59,4822.76,2024-02-12
229,229,2023-09-26,2023-10-26,6901.23,312.35,6588.879999999999,2023-10-31
230,230,2023-11-26,2023-12-26,5314.73,245.31,5069.419999999999,2023-12-31
231,231,2023-07-26,2023-08-25,5447.02,498.0,4949.02,2023-08-30
232,232,2023-08-07,2023-09-06,4788.58,387.72,4400.86,2023-09-11
233,233,2023-06-04,2023-07-04,5715.94,223.38,5492.5599999999995,2023-07-09
234,234,2023-07-01,2023-07-31,6054.76,213.19,5841.570000000001,2023-08-05
235,235,2023-09-24,2023-10-24,5796.32,317.24,5479.08,2023-10-29
236,236,2023-09-05,2023-10-05,6804.94,365.66,6439.28,2023-10-10
237,237,2023-09-10,2023-10-10,3024.74,224.32,2800.4199999999996,2023-10-15
238,238,2024-01-03,2024-02-02,4318.99,203.29,4115.7,2024-02-07
239,239,2023-11-19,2023-12-19,5876.82,376.59,5500.23,2023-12-24
240,240,2023-06-08,2023-07-08,3935.03,329.14,3605.8900000000003,2023-07-13
241,241,2023-09-10,2023-10-10,3033.21,280.57,2752.64,2023-10-15
242,242,2023-09-16,2023-10-16,4680.09,216.5,4463.59,2023-10-21
243,243,2023-09-03,2023-10-03,6895.23,425.96,6469.2699999999995,2023-10-08
244,244,2023-07-25,2023-08-24,5796.98,419.62,5377.36,2023-08-29
245,245,2023-12-27,2024-01-26,3663.07,356.57,3306.5,2024-01-31
246,246,2024-02-13,2024-03-14,6951.71,235.46,6716.25,2024-03-19
247,247,2024-05-03,2024-06-02,5134.27,249.75,4884.52,2024-06-07
248,248,2023-07-01,2023-07-31,6147.01,207.88,5939.13,2023-08-05
249,249,2024-04-03,2024-05-03,5968.77,402.62,5566.150000000001,2024-05-08
250,250,2023-12-11,2024-01-10,6237.41,332.1,5905.3099999999995,2024-01-15
251,251,2023-06-10,2023-07-10,6433.35,471.31,5962.04,2023-07-15
252,252,2023-09-29,2023-10-29,3731.59,202.15,3529.44,2023-11-03
253,253,2024-04-02,2024-05-02,5902.63,416.33,5486.3,2024-05-07
254,254,2023-09-27,2023-10-27,3668.2,404.02,3264.18,2023-11-01
255,255,2023-12-26,2024-01-25,5874.48,252.31,5622.169999999999,2024-01-30
256,256,2024-02-26,2024-03-27,5131.84,278.5,4853.34,2024-04-01
257,257,2024-04-17,2024-05-17,3264.78,441.75,2823.03,2024-05-22
258,258,2023-06-17,2023-07-17,6312.88,496.93,5815.95,2023-07-22
259,259,2023-11-06,2023-12-06,5821.33,380.24,5441.09,2023-12-11
260,260,2024-02-06,2024-03-07,3859.2,224.89,3634.31,2024-03-12
261,261,2023-08-25,2023-09-24,5288.59,357.81,4930.78,2023-09-29
262,262,2023-07-04,2023-08-03,6682.91,443.06,6239.849999999999,2023-08-08
263,263,2023-12-12,2024-01-11,3531.59,332.4,3199.19,2024-01-16
264,264,2023-06-21,2023-07-21,4997.92,219.68,4778.24,2023-07-26
265,265,2023-10-22,2023-11-21,6255.84,461.39,5794.45,2023-11-26
266,266,2024-03-16,2024-04-15,6227.03,455.6,5771.429999999999,2024-04-20
267,267,2023-12-14,2024-01-13,4460.45,462.26,3998.1899999999996,2024-01-18
268,268,2023-09-14,2023-10-14,3345.77,430.6,2915.17,2023-10-19
269,269,2023-07-20,2023-08-19,4323.65,301.41,4022.24,2023-08-24
270,270,2024-04-29,2024-05-29,3472.62,394.66,3077.96,2024-06-03
271,271,2024-05-11,2024-06-10,6592.79,258.85,6333.94,2024-06-15
272,272,2023-05-23,2023-06-22,5462.79,366.92,5095.87,2023-06-27
273,273,2023-07-24,2023-08-23,5167.05,295.91,4871.14,2023-08-28
274,274,2024-01-22,2024-02-21,5671.01,225.92,5445.09,2024-02-26
275,275,2024-02-13,2024-03-14,3477.09,364.69,3112.4,2024-03-19
276,276,2024-04-20,2024-05-20,3765.02,217.96,3547.06,2024-05-25
277,277,2023-06-18,2023-07-18,4889.15,411.72,4477.429999999999,2023-07-23
278,278,2023-12-23,2024-01-22,4821.74,356.61,4465.13,2024-01-27
279,279,2023-11-28,2023-12-28,6593.05,248.86,6344.1900000000005,2024-01-02
280,280,2023-11-23,2023-12-23,5881.91,481.2,5400.71,2023-12-28
281,281,2023-09-15,2023-10-15,5362.88,234.0,5128.88,2023-10-20
282,282,2023-09-05,2023-10-05,3544.43,386.32,3158.1099999999997,2023-10-10
283,283,2023-08-22,2023-09-21,5966.26,260.63,5705.63,2023-09-26
284,284,2023-07-21,2023-08-20,4790.31,378.29,4412.02,2023-08-25
285,285,2023-12-06,2024-01-05,5478.13,488.74,4989.39,2024-01-10
286,286,2024-01-21,2024-02-20,5692.73,260.79,5431.94,2024-02-25
287,287,2024-05-17,2024-06-16,5250.52,409.03,4841.490000000001,2024-06-21
288,288,2023-11-09,2023-12-09,5695.88,307.66,5388.22,2023-12-14
289,289,2024-02-09,2024-03-10,6115.69,362.71,5752.98,2024-03-15
290,290,2024-02-24,2024-03-25,6006.78,244.52,5762.259999999999,2024-03-30
291,291,2024-04-05,2024-05-05,4317.09,283.87,4033.2200000000003,2024-05-10
292,292,2024-05-06,2024-06-05,6255.99,414.97,5841.0199999999995,2024-06-10
293,293,2023-06-03,2023-07-03,4399.74,375.73,4024.0099999999998,2023-07-08
294,294,2023-12-08,2024-01-07,3511.35,249.95,3261.4,2024-01-12
295,295,2023-06-01,2023-07-01,5599.97,378.58,5221.39,2023-07-06
296,296,2023-11-10,2023-12-10,3908.94,321.33,3587.61,2023-12-15
297,297,2024-03-29,2024-04-28,3650.57,285.86,3364.71,2024-05-03
298,298,2024-04-10,2024-05-10,4939.59,490.27,4449.32,2024-05-15
299,299,2023-12-19,2024-01-18,4317.83,420.86,3896.97,2024-01-23
300,300,2024-01-11,2024-02-10,6049.98,356.03,5693.95,2024-02-15
301,301,2024-03-13,2024-04-12,4088.68,429.81,3658.87,2024-04-17
302,302,2024-04-05,2024-05-05,3609.36,239.1,3370.26,2024-05-10
303,303,2023-12-12,2024-01-11,5142.45,381.51,4760.94,2024-01-16
304,304,2024-05-15,2024-06-14,3400.96,385.58,3015.38,2024-06-19
305,305,2024-03-09,2024-04-08,5213.48,406.23,4807.25,2024-04-13
306,306,2024-05-03,2024-06-02,3919.39,382.02,3537.37,2024-06-07
307,307,2023-08-08,2023-09-07,5757.22,229.36,5527.860000000001,2023-09-12
308,308,2023-08-14,2023-09-13,6636.38,328.02,6308.360000000001,2023-09-18
309,309,2024-04-14,2024-05-14,6954.34,318.93,6635.41,2024-05-19
310,310,2024-02-22,2024-03-23,4532.12,373.45,4158.67,2024-03-28
311,311,2024-02-25,2024-03-26,5554.81,453.79,5101.02,2024-03-31
312,312,2023-12-08,2024-01-07,4836.26,474.46,4361.8,2024-01-12
313,313,2023-06-11,2023-07-11,4024.49,449.32,3575.1699999999996,2023-07-16
314,314,2023-08-23,2023-09-22,3300.37,301.5,2998.87,2023-09-27
315,315,2023-10-09,2023-11-08,6572.35,435.22,6137.13,2023-11-13
316,316,2023-12-04,2024-01-03,4348.25,466.81,3881.44,2024-01-08
317,317,2024-02-25,2024-03-26,6188.27,405.92,5782.35,2024-03-31
318,318,2024-04-07,2024-05-07,4454.71,268.93,4185.78,2024-05-12
319,319,2024-05-10,2024-06-09,4576.34,370.6,4205.74,2024-06-14
320,320,2023-11-09,2023-12-09,4376.02,486.9,3889.1200000000003,2023-12-14
321,321,2023-10-31,2023-11-30,5062.47,477.48,4584.99,2023-12-05
322,322,2023-07-02,2023-08-01,4373.51,241.12,4132.39,2023-08-06
323,323,2023-08-10,2023-09-09,3450.58,433.53,3017.05,2023-09-14
324,324,2023-10-10,2023-11-09,4430.1,476.72,3953.38,2023-11-14
325,325,2023-07-18,2023-08-17,3235.34,476.38,2758.96,2023-08-22
326,326,2023-09-26,2023-10-26,3193.51,251.22,2942.2900000000004,2023-10-31
327,327,2024-01-06,2024-02-05,5154.56,443.8,4710.76,2024-02-10
328,328,2023-11-11,2023-12-11,5101.87,326.22,4775.65,2023-12-16
329,329,2023-10-28,2023-11-27,5343.22,480.39,4862.83,2023-12-02
330,330,2023-11-14,2023-12-14,5005.11,425.02,4580.09,2023-12-19
331,331,2023-12-01,2023-12-31,4071.87,461.98,3609.89,2024-01-05
332,332,2023-07-14,2023-08-13,3104.58,458.57,2646.0099999999998,2023-08-18
333,333,2024-04-10,2024-05-10,6416.9,353.66,6063.24,2024-05-15
334,334,2023-05-28,2023-06-27,5425.39,484.19,4941.200000000001,2023-07-02
335,335,2023-10-20,2023-11-19,4881.64,374.13,4507.51,2023-11-24
336,336,2024-03-09,2024-04-08,4920.24,483.06,4437.179999999999,2024-04-13
337,337,2024-02-22,2024-03-23,4245.33,234.33,4011.0,2024-03-28
338,338,2024-02-08,2024-03-09,4387.7,356.18,4031.52,2024-03-14
339,339,2023-10-05,2023-11-04,5417.8,450.37,4967.43,2023-11-09
340,340,2023-09-13,2023-10-13,6861.35,486.48,6374.870000000001,2023-10-18
341,341,2024-01-21,2024-02-20,4401.17,494.97,3906.2,2024-02-25
342,342,2023-08-05,2023-09-04,3611.7,342.35,3269.35,2023-09-09
343,343,2023-10-30,2023-11-29,4541.68,210.62,4331.06,2023-12-04
344,344,2024-01-19,2024-02-18,4655.89,424.84,4231.05,2024-02-23
345,345,2023-07-23,2023-08-22,3592.32,211.68,3380.6400000000003,2023-08-27
346,346,2024-04-05,2024-05-05,3965.9,326.72,3639.1800000000003,2024-05-10
347,347,2024-02-14,2024-03-15,4663.92,292.59,4371.33,2024-03-20
